         0        28
         0        29   3.99045
         0        30
         0        31
         0        32   3.60852
         0        33   4.32067
         0        34
         0        35
         0        36   3.19468
         0        37   4.45646
         0        38   4.00958
         0        39
         0        40
         0        41   2.00303
         0        42   4.33734
         0        43   4.96318
         0        44   2.85575
         0        45   2.72657
         0        46
         0        47   4.03509
         0        48   4.21363
         0        49   4.50180
         0        50
         0        51
         0        52   4.51015
         0        53
         0        54   3.95916
         0        55   4.35661
         0        56   2.50934
         0        57   4.50616
         0        58   4.73491
         0        59
         0        60   3.90423
         0        61
         0        62   2.09817
         0        63   4.21496
         0        64   3.27400
         0        65   4.97603
         0        66   3.79862
         0        67   2.50078
         1        28   3.99045
         1        29
         1        30
         1        31
         1        32   4.32067
         1        33   3.60852
         1        34
         1        35
         1        36   4.45646
         1        37   3.19468
         1        38
         1        39   4.00958
         1        40   2.00303
         1        41
         1        42   4.96318
         1        43   4.33734
         1        44   2.72657
         1        45   2.85575
         1        46   4.03509
         1        47
         1        48   4.50180
         1        49   4.21363
         1        50
         1        51
         1        52
         1        53   4.51015
         1        54   4.35661
         1        55   3.95916
         1        56   4.50616
         1        57   2.50934
         1        58
         1        59   4.73491
         1        60
         1        61   3.90423
         1        62   4.21496
         1        63   2.09817
         1        64   4.97603
         1        65   3.27400
         1        66   2.50078
         1        67   3.79862
         2        28
         2        29
         2        30
         2        31   4.12169
         2        32
         2        33
         2        34   3.59125
         2        35   4.59442
         2        36   4.18897
         2        37
         2        38   3.08897
         2        39   4.57283
         2        40
         2        41   4.08095
         2        42   2.02817
         2        43
         2        44
         2        45   4.20367
         2        46   2.58120
         2        47   2.71760
         2        48
         2        49
         2        50   4.09673
         2        51   4.62452
         2        52   4.05040
         2        53   4.07023
         2        54   4.68311
         2        55
         2        56   4.63646
         2        57
         2        58   2.56454
         2        59   4.38040
         2        60   2.08386
         2        61   4.74460   4.44675
         2        62   4.14764
         2        63
         2        64   3.48718
         2        65   2.84515
         2        66   3.48358
         2        67   4.72260
         3        28
         3        29
         3        30   4.12169
         3        31
         3        32
         3        33
         3        34   4.59442
         3        35   3.59125
         3        36
         3        37   4.18897
         3        38   4.57283
         3        39   3.08897
         3        40   4.08095
         3        41
         3        42
         3        43   2.02817
         3        44   4.20367
         3        45
         3        46   2.71760
         3        47   2.58120
         3        48
         3        49
         3        50   4.62452
         3        51   4.09673
         3        52   4.07023
         3        53   4.05040
         3        54
         3        55   4.68311
         3        56
         3        57   4.63646
         3        58   4.38040
         3        59   2.56454
         3        60   4.44675   4.74460
         3        61   2.08386
         3        62
         3        63   4.14764
         3        64   2.84515
         3        65   3.48718
         3        66   4.72260
         3        67   3.48358
         4        28   3.65403
         4        29
         4        30
         4        31   4.91334   4.66915
         4        32   4.11805
         4        33   4.06130
         4        34   2.39339
         4        35
         4        36   1.72240
         4        37
         4        38   4.28751
         4        39   3.97766
         4        40   4.05847
         4        41   4.83354
         4        42   2.13196
         4        43
         4        44
         4        45   3.87348
         4        46   4.90194
         4        47
         4        48
         4        49   4.50057
         4        50
         4        51   3.91055
         4        52   4.77365
