         0        16   4.46338
         0        17   4.63069   4.49283
         0        18   4.46338
         0        19   4.49283   4.63069
         0        20   4.39377   4.76006
         0        21   3.62167   2.05425
         0        22   4.39377   4.76006
         0        23   2.05425   3.62167
         0        24   4.63083   3.19997
         0        25   2.17699   4.43591
         0        26   3.19997   4.63083
         0        27   4.43591   2.17699
         0        28   4.73527   2.14194
         0        29   3.73131   4.71494
         0        30   2.14194   4.73527
         0        31   4.71494   3.73131
         0        32   3.49706
         0        33
         0        34   3.49706
         0        35
         0        36   4.66782   4.48882
         0        37   4.47893
         0        38   4.48882   4.66782
         0        39   4.47893
         1        16   4.63069   4.49283
         1        17   4.46338
         1        18   4.49283   4.63069
         1        19   4.46338
         1        20   3.62167   2.05425
         1        21   4.76006   4.39377
         1        22   2.05425   3.62167
         1        23   4.76006   4.39377
         1        24   2.17699   4.43591
         1        25   4.63083   3.19997
         1        26   4.43591   2.17699
         1        27   3.19997   4.63083
         1        28   3.73131   4.71494
         1        29   4.73527   2.14194
         1        30   4.71494   3.73131
         1        31   2.14194   4.73527
         1        32
         1        33   3.49706
         1        34
         1        35   3.49706
         1        36   4.47893
         1        37   4.66782   4.48882
         1        38   4.47893
         1        39   4.48882   4.66782
         2        16   4.73527   2.14194
         2        17   3.73131   4.71494
         2        18   2.14194   4.73527
         2        19   4.71494   3.73131
         2        20   3.49706
         2        21
         2        22   3.49706
         2        23
         2        24   4.66782   4.48882
         2        25   4.47893
         2        26   4.48882   4.66782
         2        27   4.47893
         2        28   4.46338
         2        29   4.63069   4.49283
         2        30   4.46338
         2        31   4.49283   4.63069
         2        32   4.39377   4.76006
         2        33   3.62167   2.05425
         2        34   4.39377   4.76006
         2        35   2.05425   3.62167
         2        36   4.63083   3.19997
         2        37   2.17699   4.43591
         2        38   3.19997   4.63083
         2        39   4.43591   2.17699
         3        16   3.73131   4.71494
         3        17   4.73527   2.14194
         3        18   4.71494   3.73131
         3        19   2.14194   4.73527
         3        20
         3        21   3.49706
         3        22
         3        23   3.49706
         3        24   4.47893
         3        25   4.66782   4.48882
         3        26   4.47893
         3        27   4.48882   4.66782
         3        28   4.63069   4.49283
         3        29   4.46338
         3        30   4.49283   4.63069
         3        31   4.46338
         3        32   3.62167   2.05425
         3        33   4.76006   4.39377
         3        34   2.05425   3.62167
         3        35   4.76006   4.39377
         3        36   2.17699   4.43591
         3        37   4.63083   3.19997
         3        38   4.43591   2.17699
         3        39   3.19997   4.63083
         4        16   4.51699
         4        17
         4        18   4.51699
         4        19
         4        20   1.92399   4.57690
         4        21   4.69554   3.62652
         4        22   4.57690   1.92399
         4        23   3.62652   4.69554
         4        24   4.84013   3.49601
         4        25   4.92163   4.41191
         4        26   3.49601   4.84013
         4        27   4.92163   4.41191
         4        28   4.70467   2.07342
         4        29   2.04616   3.53479
         4        30   2.07342   4.70467
         4        31   3.53479   2.04616
         4        32   4.64667
         4        33   4.49476   4.56860
         4        34   4.64667
         4        35   4.56860   4.49476
         4        36   4.53863   4.35432
         4        37   3.35043
         4        38   4.35432   4.53863
         4        39   3.35043
         5        16
         5        17   4.51699
         5        18
         5        19   4.51699
         5        20   4.69554   3.62652
         5        21   1.92399   4.57690
         5        22   3.62652   4.69554
         5        23   4.57690   1.92399
         5        24   4.41191   4.92163
         5        25   4.84013   3.49601
         5        26   4.41191   4.92163
         5        27   3.49601   4.84013
         5        28   2.04616   3.53479
         5        29   4.70467   2.07342
         5        30   3.53479   2.04616
         5        31   2.07342   4.70467
         5        32   4.49476   4.56860
         5        33   4.64667
         5        34   4.56860   4.49476
         5        35   4.64667
         5        36   3.35043
         5        37   4.53863   4.35432
         5        38   3.35043
         5        39   4.35432   4.53863
         6        16   4.70467   2.07342
         6        17   2.04616   3.53479
         6        18   2.07342   4.70467
         6        19   3.53479   2.04616
         6        20   4.64667
         6        21   4.49476   4.56860
         6        22   4.64667
         6        23   4.56860   4.49476
         6        24   4.53863   4.35432
         6        25   3.35043
         6        26   4.35432   4.53863
         6        27   3.35043
         6        28   4.51699
         6        29
         6        30   4.51699
         6        31
         6        32   1.92399   4.57690
         6        33   4.69554   3.62652
         6        34   4.57690   1.92399
         6        35   3.62652   4.69554
         6        36   4.84013   3.49601
         6        37   4.92163   4.41191
         6        38   3.49601   4.84013
         6        39   4.92163   4.41191
         7        16   2.04616   3.53479
         7        17   4.70467   2.07342
         7        18   3.53479   2.04616
         7        19   2.07342   4.70467
         7        20   4.49476   4.56860
         7        21   4.64667
         7        22   4.56860   4.49476
         7        23   4.64667
         7        24   3.35043
         7        25   4.53863   4.35432
         7        26   3.35043
         7        27   4.35432   4.53863
         7        28
         7        29   4.51699
         7        30
         7        31   4.51699
         7        32   4.69554   3.62652
         7        33   1.92399   4.57690
         7        34   3.62652   4.69554
         7        35   4.57690   1.92399
         7        36   4.41191   4.92163
