         0         6   1.97888   3.64115   3.64115   4.75395
         0         7   4.75395   3.64115   3.64115   1.97888
         0         8   4.73602   4.87467
         0         9   4.73602   4.87467
         0        10   4.83808   4.83808   3.75034
         0        11   3.75034   4.83808   4.83808
         0        12   4.15166   1.98128   4.15166
         0        13   4.15166   1.98128   4.15166
         0        14   3.69956   4.70973   4.70973
         0        15   4.70973   4.70973   3.69956
         0        16   4.26325   2.00432   4.26325
         0        17   4.26325   2.00432   4.26325
         1         6   4.73602   4.87467
         1         7   4.73602   4.87467
         1         8   3.64115   1.97888   4.75395   3.64115
         1         9   3.64115   4.75395   1.97888   3.64115
         1        10   1.98128   4.15166   4.15166
         1        11   4.15166   4.15166   1.98128
         1        12   4.83808   3.75034   4.83808
         1        13   4.83808   3.75034   4.83808
         1        14   4.26325   4.26325   2.00432
         1        15   2.00432   4.26325   4.26325
         1        16   4.70973   3.69956   4.70973
         1        17   4.70973   3.69956   4.70973
         2         6   3.75034   4.83808   4.83808
         2         7   4.83808   4.83808   3.75034
         2         8   4.15166   1.98128   4.15166
         2         9   4.15166   1.98128   4.15166
         2        10   4.75395   3.64115   3.64115   1.97888
         2        11   1.97888   3.64115   3.64115   4.75395
         2        12   4.87467   4.73602
         2        13   4.87467   4.73602
         2        14   3.69956   4.70973   4.70973
         2        15   4.70973   4.70973   3.69956
         2        16   4.26325   2.00432   4.26325
         2        17   4.26325   2.00432   4.26325
         3         6   4.15166   4.15166   1.98128
         3         7   1.98128   4.15166   4.15166
         3         8   4.83808   3.75034   4.83808
         3         9   4.83808   3.75034   4.83808
         3        10   4.87467   4.73602
         3        11   4.87467   4.73602
         3        12   3.64115   4.75395   1.97888   3.64115
         3        13   3.64115   1.97888   4.75395   3.64115
         3        14   4.26325   4.26325   2.00432
         3        15   2.00432   4.26325   4.26325
         3        16   4.70973   3.69956   4.70973
         3        17   4.70973   3.69956   4.70973
         4         6   3.56897   4.69889   4.69889
         4         7   4.69889   4.69889   3.56897
         4         8   4.22994   2.14046   4.22994
         4         9   4.22994   2.14046   4.22994
         4        10   4.69889   4.69889   3.56897
         4        11   3.56897   4.69889   4.69889
         4        12   4.22994   2.14046   4.22994
         4        13   4.22994   2.14046   4.22994
         4        14   2.10342   3.59433   3.59433   4.62753
         4        15   4.62753   3.59433   3.59433   2.10342
         4        16   4.77047   4.77047
         4        17   4.77047   4.77047
         5         6   4.22994   4.22994   2.14046
         5         7   2.14046   4.22994   4.22994
         5         8   4.69889   3.56897   4.69889
         5         9   4.69889   3.56897   4.69889
         5        10   2.14046   4.22994   4.22994
         5        11   4.22994   4.22994   2.14046
         5        12   4.69889   3.56897   4.69889
         5        13   4.69889   3.56897   4.69889
         5        14   4.77047   4.77047
         5        15   4.77047   4.77047
         5        16   3.59433   2.10342   4.62753   3.59433
         5        17   3.59433   4.62753   2.10342   3.59433
         6         0   4.75395   3.64115   3.64115   1.97888
         6         1   4.87467   4.73602
         6         2   4.83808   4.83808   3.75034
         6         3   1.98128   4.15166   4.15166
         6         4   4.69889   4.69889   3.56897
         6         5   2.14046   4.22994   4.22994
         7         0   1.97888   3.64115   3.64115   4.75395
         7         1   4.87467   4.73602
         7         2   3.75034   4.83808   4.83808
         7         3   4.15166   4.15166   1.98128
         7         4   3.56897   4.69889   4.69889
         7         5   4.22994   4.22994   2.14046
         8         0   4.87467   4.73602
         8         1   3.64115   4.75395   1.97888   3.64115
         8         2   4.15166   1.98128   4.15166
         8         3   4.83808   3.75034   4.83808
         8         4   4.22994   2.14046   4.22994
         8         5   4.69889   3.56897   4.69889
         9         0   4.87467   4.73602
         9         1   3.64115   1.97888   4.75395   3.64115
         9         2   4.15166   1.98128   4.15166
         9         3   4.83808   3.75034   4.83808
         9         4   4.22994   2.14046   4.22994
         9         5   4.69889   3.56897   4.69889
        10         0   3.75034   4.83808   4.83808
        10         1   4.15166   4.15166   1.98128
        10         2   1.97888   3.64115   3.64115   4.75395
        10         3   4.73602   4.87467
        10         4   3.56897   4.69889   4.69889
        10         5   4.22994   4.22994   2.14046
        11         0   4.83808   4.83808   3.75034
        11         1   1.98128   4.15166   4.15166
        11         2   4.75395   3.64115   3.64115   1.97888
        11         3   4.73602   4.87467
        11         4   4.69889   4.69889   3.56897
        11         5   2.14046   4.22994   4.22994
        12         0   4.15166   1.98128   4.15166
        12         1   4.83808   3.75034   4.83808
        12         2   4.73602   4.87467
        12         3   3.64115   1.97888   4.75395   3.64115
        12         4   4.22994   2.14046   4.22994
        12         5   4.69889   3.56897   4.69889
        13         0   4.15166   1.98128   4.15166
        13         1   4.83808   3.75034   4.83808
        13         2   4.73602   4.87467
        13         3   3.64115   4.75395   1.97888   3.64115
        13         4   4.22994   2.14046   4.22994
        13         5   4.69889   3.56897   4.69889
        14         0   4.70973   4.70973   3.69956
        14         1   2.00432   4.26325   4.26325
        14         2   4.70973   4.70973   3.69956
        14         3   2.00432   4.26325   4.26325
        14         4   4.62753   3.59433   3.59433   2.10342
        14         5   4.77047   4.77047
        15         0   3.69956   4.70973   4.70973
        15         1   4.26325   4.26325   2.00432
        15         2   3.69956   4.70973   4.70973
        15         3   4.26325   4.26325   2.00432
        15         4   2.10342   3.59433   3.59433   4.62753
        15         5   4.77047   4.77047
        16         0   4.26325   2.00432   4.26325
        16         1   4.70973   3.69956   4.70973
        16         2   4.26325   2.00432   4.26325
        16         3   4.70973   3.69956   4.70973
        16         4   4.77047   4.77047
        16         5   3.59433   4.62753   2.10342   3.59433
        17         0   4.26325   2.00432   4.26325
        17         1   4.70973   3.69956   4.70973
        17         2   4.26325   2.00432   4.26325
        17         3   4.70973   3.69956   4.70973
        17         4   4.77047   4.77047
        17         5   3.59433   2.10342   4.62753   3.59433
