cif name= ./1538614.cif
./1538614.cif
Full Formula (Li56 Ni8 N32)
Reduced Formula: Li7NiN4
abc   :   9.571000   9.571000   9.571000
angles:  90.000000  90.000000  90.000000
Sites (96)
  #  SP        a      b      c
---  ----  -----  -----  -----
  0  Li    0.25   0.25   0.25
  1  Li    0.75   0.25   0.25
  2  Li    0.75   0.75   0.25
  3  Li    0.25   0.75   0.25
  4  Li    0.25   0.75   0.75
  5  Li    0.25   0.25   0.75
  6  Li    0.75   0.25   0.75
  7  Li    0.75   0.75   0.75
  8  Li    0      0.5    0.5
  9  Li    0      0.5    0
 10  Li    0.5    0      0.5
 11  Li    0.5    0      0
 12  Li    0.5    0.5    0
 13  Li    0      0      0.5
 14  Li    0.25   0      0.5
 15  Li    0.5    0.25   0
 16  Li    0.75   0      0.5
 17  Li    0.5    0.75   0
 18  Li    0      0.5    0.25
 19  Li    0      0.5    0.75
 20  Li    0.25   0      0
 21  Li    0.5    0.25   0.5
 22  Li    0.75   0      0
 23  Li    0.5    0.75   0.5
 24  Li    0      0.25   0
 25  Li    0.75   0.5    0.5
 26  Li    0      0.75   0
 27  Li    0.25   0.5    0.5
 28  Li    0      0      0.25
 29  Li    0      0      0.75
 30  Li    0.5    0.5    0.75
 31  Li    0.5    0.5    0.25
 32  Li    0.25   0.25   0
 33  Li    0.75   0.25   0.5
 34  Li    0.75   0.75   0
 35  Li    0.25   0.75   0.5
 36  Li    0.25   0.75   0
 37  Li    0.25   0.25   0.5
 38  Li    0.75   0.25   0
 39  Li    0.75   0.75   0.5
 40  Li    0      0.25   0.25
 41  Li    0.75   0.5    0.25
 42  Li    0      0.75   0.25
 43  Li    0.25   0.5    0.25
 44  Li    0      0.75   0.75
 45  Li    0.25   0.5    0.75
 46  Li    0      0.25   0.75
 47  Li    0.75   0.5    0.75
 48  Li    0.25   0      0.25
 49  Li    0.25   0      0.75
 50  Li    0.5    0.25   0.75
 51  Li    0.75   0      0.75
 52  Li    0.5    0.75   0.75
 53  Li    0.75   0      0.25
 54  Li    0.5    0.75   0.25
 55  Li    0.5    0.25   0.25
 56  Ni    0.25   0.5    0
 57  Ni    0      0.25   0.5
