cif name= ./1533194.cif
./1533194.cif
Full Formula (La6 V4 N12)
Reduced Formula: La3(VN3)2
abc   :   3.905000   3.905000  20.215000
angles:  90.000000  90.000000  90.000000
Sites (22)
  #  SP      a    b       c
---  ----  ---  ---  ------
  0  La    0    0    0
  1  La    0.5  0.5  0.3195
  2  La    0    0    0.1805
  3  La    0.5  0.5  0.5
  4  La    0    0    0.8195
  5  La    0.5  0.5  0.6805
  6  V     0    0    0.3977
  7  V     0.5  0.5  0.1023
  8  V     0.5  0.5  0.8977
  9  V     0    0    0.6023
 10  N     0    0.5  0.4129
 11  N     0.5  0    0.4129
 12  N     0.5  0    0.0871
 13  N     0    0.5  0.0871
 14  N     0    0    0.3051
 15  N     0.5  0.5  0.1949
 16  N     0.5  0    0.9129
 17  N     0    0.5  0.9129
 18  N     0    0.5  0.5871
 19  N     0.5  0    0.5871
 20  N     0.5  0.5  0.8051
 21  N     0    0    0.6949

space_group_IT_number 139

*** lse ***


**isite= 0
La1 : [0. 0. 0.]

ce_symbol  = C:8
ce_fraction=  0.9988140293111278
species:coords:index
N1 : [-1.9525     0.         1.7607265] : 12
N1 : [0.        1.9525    1.7607265] : 13
N1 : [ 0.        -1.9525    -1.7607265] : 17
N1 : [ 1.9525     0.        -1.7607265] : 16
N1 : [ 0.         1.9525    -1.7607265] : 17
N1 : [ 0.        -1.9525     1.7607265] : 13
N1 : [1.9525    0.        1.7607265] : 12
N1 : [-1.9525     0.        -1.7607265] : 16
!!!atention to nb coordination!!!
         [2.6291470209560797, 2.6291470209560805, 2.6291470209560788, 2.6291470209560797, 2.6291470209560797, 2.6291470209560797, 2.6291470209560805, 2.6291470209560788]
         [2.62914702095608, 2.62914702095608, 2.62914702095608, 2.62914702095608, 2.62914702095608, 2.62914702095608, 2.62914702095608, 2.62914702095608]

ce_symbol  = BO_1:8
ce_fraction=  0.0011859706888721665
species:coords:index
N1 : [-1.9525     0.         1.7607265] : 12
N1 : [0.        1.9525    1.7607265] : 13
N1 : [ 0.        -1.9525    -1.7607265] : 17
N1 : [ 1.9525     0.        -1.7607265] : 16
N1 : [ 0.         1.9525    -1.7607265] : 17
N1 : [ 0.        -1.9525     1.7607265] : 13
N1 : [1.9525    0.        1.7607265] : 12
N1 : [-1.9525     0.        -1.7607265] : 16
!!!atention to nb coordination!!!
         [2.6291470209560797, 2.6291470209560805, 2.6291470209560788, 2.6291470209560797, 2.6291470209560797, 2.6291470209560797, 2.6291470209560805, 2.6291470209560788]
         [2.62914702095608, 2.62914702095608, 2.62914702095608, 2.62914702095608, 2.62914702095608, 2.62914702095608, 2.62914702095608, 2.62914702095608]


**isite= 1
La1 : [1.9525    1.9525    6.4586925]

ce_symbol  = TT_1:9
ce_fraction=  0.42633802770093504
species:coords:index
N1 : [3.905     0.        6.1675965] : 14
N1 : [0.        1.9525    8.3467735] : 10
N1 : [0.        0.        6.1675965] : 14
N1 : [1.9525    3.905     8.3467735] : 11
N1 : [1.9525    0.        8.3467735] : 11
N1 : [1.9525    1.9525    3.9399035] : 15
N1 : [3.905     1.9525    8.3467735] : 10
N1 : [3.905     3.905     6.1675965] : 14
N1 : [0.        3.905     6.1675965] : 14
!!!atention to nb coordination!!!
         [2.7765535077170767, 2.7160828618731414, 2.7765535077170767, 2.7160828618731414, 2.7160828618731414, 2.518789000000006, 2.7160828618731414, 2.7765535077170767, 2.7765535077170767]
