cif name= ./1527984.cif
./1527984.cif
Full Formula (In16 Si16 O56)
Reduced Formula: In2Si2O7
abc   :   9.413000   9.413000   9.413000
angles:  90.000000  90.000000  90.000000
Sites (88)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  In    0.125   0.125   0.625
  1  In    0.125   0.875   0.375
  2  In    0.375   0.375   0.625
  3  In    0.375   0.125   0.875
  4  In    0.125   0.625   0.125
  5  In    0.125   0.375   0.875
  6  In    0.375   0.875   0.125
  7  In    0.375   0.625   0.375
  8  In    0.625   0.125   0.125
  9  In    0.625   0.875   0.875
 10  In    0.875   0.375   0.125
 11  In    0.875   0.125   0.375
 12  In    0.625   0.625   0.625
 13  In    0.625   0.375   0.375
 14  In    0.875   0.875   0.625
 15  In    0.875   0.625   0.875
 16  Si    0.125   0.125   0.125
 17  Si    0.125   0.375   0.375
 18  Si    0.375   0.875   0.625
 19  Si    0.375   0.125   0.375
 20  Si    0.125   0.625   0.625
 21  Si    0.125   0.875   0.875
 22  Si    0.375   0.375   0.125
 23  Si    0.375   0.625   0.875
 24  Si    0.625   0.125   0.625
 25  Si    0.625   0.375   0.875
 26  Si    0.875   0.875   0.125
 27  Si    0.875   0.125   0.875
 28  Si    0.625   0.625   0.125
 29  Si    0.625   0.875   0.375
 30  Si    0.875   0.375   0.625
 31  Si    0.875   0.625   0.375
 32  O     0.25    0.75    0.25
 33  O     0.5     0.5     0.5
 34  O     0.5522  0.25    0.75
 35  O     0.5     0.8022  0.5
 36  O     0.4478  0.25    0.25
 37  O     0.5     0.1978  0.5
 38  O     0.25    0.0522  0.25
 39  O     0.1978  0       0
 40  O     0.25    0.4478  0.25
 41  O     0.3022  0       0.5
 42  O     0.25    0.25    0.0522
 43  O     0.25    0.25    0.4478
 44  O     0.5     0       0.6978
 45  O     0.5     0       0.3022
 46  O     0.25    0.25    0.75
 47  O     0.5     0       0
 48  O     0.5522  0.75    0.25
 49  O     0.5     0.3022  0
 50  O     0.4478  0.75    0.75
 51  O     0.5     0.6978  0
 52  O     0.25    0.5522  0.75
 53  O     0.1978  0.5     0.5
 54  O     0.25    0.9478  0.75
