cif name= ./1534029.cif
./1534029.cif
Full Formula (Cr8 Pb40 O64)
Reduced Formula: CrPb5O8
abc   :  14.792000  11.677000  11.582000
angles:  90.000000  90.979000  90.000000
Sites (112)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  Cr    0.4282   0.1074   0.6542
  1  Cr    0.5718   0.6074   0.8458
  2  Cr    0.5718   0.8926   0.3458
  3  Cr    0.4282   0.3926   0.1542
  4  Cr    0.9299   0.097    0.6501
  5  Cr    0.0701   0.597    0.8499
  6  Cr    0.0701   0.903    0.3499
  7  Cr    0.9299   0.403    0.1501
  8  Pb    0.4388   0.4278   0.60944
  9  Pb    0.5612   0.9278   0.89056
 10  Pb    0.5612   0.5722   0.39056
 11  Pb    0.4388   0.0722   0.10944
 12  Pb    0.67681  0.07856  0.62789
 13  Pb    0.32319  0.57856  0.87211
 14  Pb    0.32319  0.92144  0.37211
 15  Pb    0.67681  0.42144  0.12789
 16  Pb    0.70482  0.74845  0.61145
 17  Pb    0.29518  0.24845  0.88855
 18  Pb    0.29518  0.25155  0.38855
 19  Pb    0.70482  0.75155  0.11145
 20  Pb    0.18871  0.41363  0.61292
 21  Pb    0.81129  0.91363  0.88708
 22  Pb    0.81129  0.58637  0.38708
 23  Pb    0.18871  0.08637  0.11292
 24  Pb    0.9372   0.44662  0.61946
 25  Pb    0.0628   0.94662  0.88054
 26  Pb    0.0628   0.55338  0.38054
 27  Pb    0.9372   0.05338  0.11946
 28  Pb    0.19132  0.07886  0.63786
 29  Pb    0.80868  0.57886  0.86214
 30  Pb    0.80868  0.92114  0.36214
 31  Pb    0.19132  0.42114  0.13786
 32  Pb    0.68961  0.41234  0.60973
 33  Pb    0.31039  0.91234  0.89027
 34  Pb    0.31039  0.58766  0.39027
 35  Pb    0.68961  0.08766  0.10973
 36  Pb    0.19007  0.74213  0.60915
 37  Pb    0.80993  0.24213  0.89085
 38  Pb    0.80993  0.25787  0.39085
 39  Pb    0.19007  0.75787  0.10915
 40  Pb    0.42648  0.75401  0.61597
 41  Pb    0.57352  0.25401  0.88403
 42  Pb    0.57352  0.24599  0.38403
 43  Pb    0.42648  0.74599  0.11597
 44  Pb    0.93806  0.76258  0.59962
 45  Pb    0.06194  0.26258  0.90038
 46  Pb    0.06194  0.23742  0.40038
 47  Pb    0.93806  0.73742  0.09962
