cif name= ./5910036.cif
./5910036.cif
Full Formula (Mn16 Cr8 O32)
Reduced Formula: Mn2CrO4
abc   :   8.436000   8.436000   8.436000
angles:  90.000000  90.000000  90.000000
Sites (56)
  #  SP        a      b      c
---  ----  -----  -----  -----
  0  Mn    0.125  0.125  0.625
  1  Mn    0.375  0.125  0.875
  2  Mn    0.375  0.375  0.625
  3  Mn    0.125  0.875  0.375
  4  Mn    0.125  0.625  0.125
  5  Mn    0.375  0.625  0.375
  6  Mn    0.375  0.875  0.125
  7  Mn    0.125  0.375  0.875
  8  Mn    0.625  0.125  0.125
  9  Mn    0.875  0.125  0.375
 10  Mn    0.875  0.375  0.125
 11  Mn    0.625  0.875  0.875
 12  Mn    0.625  0.625  0.625
 13  Mn    0.875  0.625  0.875
 14  Mn    0.875  0.875  0.625
 15  Mn    0.625  0.375  0.375
 16  Cr    0.25   0.25   0.25
 17  Cr    0.5    0      0.5
 18  Cr    0.25   0.75   0.75
 19  Cr    0.5    0.5    0
 20  Cr    0.75   0.25   0.75
 21  Cr    0      0      0
 22  Cr    0.75   0.75   0.25
 23  Cr    0      0.5    0.5
 24  O     0.512  0.012  0.512
 25  O     0.262  0.238  0.262
 26  O     0.262  0.262  0.238
 27  O     0.238  0.262  0.262
 28  O     0.488  0.988  0.512
 29  O     0.512  0.988  0.488
 30  O     0.488  0.012  0.488
 31  O     0.238  0.238  0.238
 32  O     0.512  0.512  0.012
 33  O     0.262  0.738  0.762
 34  O     0.262  0.762  0.738
 35  O     0.238  0.762  0.762
 36  O     0.488  0.488  0.012
 37  O     0.512  0.488  0.988
 38  O     0.488  0.512  0.988
 39  O     0.238  0.738  0.738
 40  O     0.012  0.012  0.012
 41  O     0.762  0.238  0.762
 42  O     0.762  0.262  0.738
 43  O     0.738  0.262  0.762
 44  O     0.988  0.988  0.012
 45  O     0.012  0.988  0.988
 46  O     0.988  0.012  0.988
 47  O     0.738  0.238  0.738
 48  O     0.012  0.512  0.512
 49  O     0.762  0.738  0.262
 50  O     0.762  0.762  0.238
 51  O     0.738  0.762  0.262
 52  O     0.988  0.488  0.512
 53  O     0.012  0.488  0.488
 54  O     0.988  0.512  0.488
 55  O     0.738  0.738  0.238

space_group_IT_number 227

*** lse ***


**isite= 0
Mn1 : [1.0545 1.0545 5.2725]


**isite= 1
Mn1 : [3.1635 1.0545 7.3815]


**isite= 2
Mn1 : [3.1635 3.1635 5.2725]


**isite= 3
Mn1 : [1.0545 7.3815 3.1635]


**isite= 4
Mn1 : [1.0545 5.2725 1.0545]


**isite= 5
Mn1 : [3.1635 5.2725 3.1635]


**isite= 6
Mn1 : [3.1635 7.3815 1.0545]


**isite= 7
Mn1 : [1.0545 3.1635 7.3815]


**isite= 8
Mn1 : [5.2725 1.0545 1.0545]


**isite= 9
Mn1 : [7.3815 1.0545 3.1635]


**isite= 10
Mn1 : [7.3815 3.1635 1.0545]


**isite= 11
Mn1 : [5.2725 7.3815 7.3815]


**isite= 12
Mn1 : [5.2725 5.2725 5.2725]


**isite= 13
Mn1 : [7.3815 5.2725 7.3815]


**isite= 14
Mn1 : [7.3815 7.3815 5.2725]


**isite= 15
Mn1 : [5.2725 3.1635 3.1635]


**isite= 16
Cr1 : [2.109 2.109 2.109]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [2.007768 2.210232 2.210232] : 27
O1 : [2.007768 2.007768 2.007768] : 31
O1 : [2.210232 2.007768 2.210232] : 25
O1 : [2.210232 2.210232 2.007768] : 26
