cif name= ./9008193.cif
./9008193.cif
Full Formula (Zn24 B16 O48)
Reduced Formula: Zn3(BO3)2
abc   :  23.804807   5.048000   8.381000
angles:  90.000000 102.898341  90.000000
Sites (88)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  Zn    0.0495  0.1709  0.1749
  1  Zn    0.0495  0.8291  0.6749
  2  Zn    0.4505  0.6709  0.3251
  3  Zn    0.4505  0.3291  0.8251
  4  Zn    0.1275  0.3159  0.8787
  5  Zn    0.1275  0.6841  0.3787
  6  Zn    0.3725  0.8159  0.6213
  7  Zn    0.3725  0.1841  0.1213
  8  Zn    0.2095  0.3079  0.2103
  9  Zn    0.2095  0.6921  0.7103
 10  Zn    0.2905  0.8079  0.2897
 11  Zn    0.2905  0.1921  0.7897
 12  Zn    0.5495  0.6709  0.1749
 13  Zn    0.5495  0.3291  0.6749
 14  Zn    0.9505  0.1709  0.3251
 15  Zn    0.9505  0.8291  0.8251
 16  Zn    0.6275  0.8159  0.8787
 17  Zn    0.6275  0.1841  0.3787
 18  Zn    0.8725  0.3159  0.6213
 19  Zn    0.8725  0.6841  0.1213
 20  Zn    0.7095  0.8079  0.2103
 21  Zn    0.7095  0.1921  0.7103
 22  Zn    0.7905  0.3079  0.2897
 23  Zn    0.7905  0.6921  0.7897
 24  B     0.066   0.6787  0.034
 25  B     0.066   0.3213  0.534
 26  B     0.434   0.1787  0.466
 27  B     0.434   0.8213  0.966
 28  B     0.187   0.8165  0.0187
 29  B     0.187   0.1835  0.5187
 30  B     0.313   0.3165  0.4813
 31  B     0.313   0.6835  0.9813
 32  B     0.566   0.1787  0.034
 33  B     0.566   0.8213  0.534
 34  B     0.934   0.6787  0.466
 35  B     0.934   0.3213  0.966
 36  B     0.687   0.3165  0.0187
 37  B     0.687   0.6835  0.5187
 38  B     0.813   0.8165  0.4813
 39  B     0.813   0.1835  0.9813
 40  O     0.0363  0.7982  0.9001
 41  O     0.0363  0.2018  0.4001
 42  O     0.4637  0.2982  0.5999
 43  O     0.4637  0.7018  0.0999
 44  O     0.082   0.4115  0.0412
 45  O     0.082   0.5885  0.5412
 46  O     0.418   0.9115  0.4588
 47  O     0.418   0.0885  0.9588
 48  O     0.0798  0.8126  0.1797
 49  O     0.0798  0.1874  0.6797
 50  O     0.4202  0.3126  0.3203
 51  O     0.4202  0.6874  0.8203
 52  O     0.1843  0.0883  0.0211
 53  O     0.1843  0.9117  0.5211
 54  O     0.3157  0.5883  0.4789
 55  O     0.3157  0.4117  0.9789
 56  O     0.2149  0.6868  0.1612
 57  O     0.2149  0.3132  0.6612
 58  O     0.2851  0.1868  0.3388
 59  O     0.2851  0.8132  0.8388
 60  O     0.1633  0.3217  0.3786
 61  O     0.1633  0.6783  0.8786
 62  O     0.3367  0.8217  0.1214
 63  O     0.3367  0.1783  0.6214
 64  O     0.5363  0.2982  0.9001
 65  O     0.5363  0.7018  0.4001
 66  O     0.9637  0.7982  0.5999
 67  O     0.9637  0.2018  0.0999
 68  O     0.582   0.9115  0.0412
 69  O     0.582   0.0885  0.5412
 70  O     0.918   0.4115  0.4588
 71  O     0.918   0.5885  0.9588
