cif name= ./2002888.cif
./2002888.cif
Full Formula (Ca12 Al24 O48)
Reduced Formula: CaAl2O4
abc   :   8.700000   8.092000  17.483484
angles:  90.000000 119.672024  90.000000
Sites (84)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  Ca2+  0.8505  0.9657  0.0893
  1  Ca2+  0.8505  0.5343  0.5893
  2  Ca2+  0.1495  0.0343  0.9107
  3  Ca2+  0.1495  0.4657  0.4107
  4  Ca2+  0.8023  0.5298  0.0709
  5  Ca2+  0.8023  0.9702  0.5709
  6  Ca2+  0.1977  0.4702  0.9291
  7  Ca2+  0.1977  0.0298  0.4291
  8  Ca2+  0.5074  0.4714  0.247
  9  Ca2+  0.5074  0.0286  0.747
 10  Ca2+  0.4926  0.5286  0.753
 11  Ca2+  0.4926  0.9714  0.253
 12  Al3+  0.8144  0.6732  0.2385
 13  Al3+  0.8144  0.8268  0.7385
 14  Al3+  0.1856  0.3268  0.7615
 15  Al3+  0.1856  0.1732  0.2615
 16  Al3+  0.8137  0.2756  0.2329
 17  Al3+  0.8137  0.2244  0.7329
 18  Al3+  0.1863  0.7244  0.7671
 19  Al3+  0.1863  0.7756  0.2671
 20  Al3+  0.4794  0.1711  0.0781
 21  Al3+  0.4794  0.3289  0.5781
 22  Al3+  0.5206  0.8289  0.9219
 23  Al3+  0.5206  0.6711  0.4219
 24  Al3+  0.468   0.7807  0.0806
 25  Al3+  0.468   0.7193  0.5806
 26  Al3+  0.532   0.2193  0.9194
 27  Al3+  0.532   0.2807  0.4194
 28  Al3+  0.1565  0.2724  0.0917
 29  Al3+  0.1565  0.2276  0.5917
 30  Al3+  0.8435  0.7276  0.9083
 31  Al3+  0.8435  0.7724  0.4083
 32  Al3+  0.1521  0.6659  0.0921
 33  Al3+  0.1521  0.8341  0.5921
 34  Al3+  0.8479  0.3341  0.9079
 35  Al3+  0.8479  0.1659  0.4079
 36  O2-   0.946   0.76    0.023
 37  O2-   0.946   0.74    0.523
 38  O2-   0.054   0.24    0.977
 39  O2-   0.054   0.26    0.477
 40  O2-   0.095   0.468   0.111
 41  O2-   0.095   0.032   0.611
 42  O2-   0.905   0.532   0.889
 43  O2-   0.905   0.968   0.389
 44  O2-   0.095   0.137   0.149
 45  O2-   0.095   0.363   0.649
 46  O2-   0.905   0.863   0.851
 47  O2-   0.905   0.637   0.351
 48  O2-   0.958   0.754   0.204
 49  O2-   0.958   0.746   0.704
 50  O2-   0.042   0.246   0.796
 51  O2-   0.042   0.254   0.296
 52  O2-   0.591   0.74    0.027
 53  O2-   0.591   0.76    0.527
 54  O2-   0.409   0.26    0.973
 55  O2-   0.409   0.24    0.473
 56  O2-   0.711   0.147   0.141
 57  O2-   0.711   0.353   0.641
 58  O2-   0.289   0.853   0.859
 59  O2-   0.289   0.647   0.359
 60  O2-   0.756   0.476   0.189
 61  O2-   0.756   0.024   0.689
 62  O2-   0.244   0.524   0.811
 63  O2-   0.244   0.976   0.311
 64  O2-   0.612   0.773   0.195
 65  O2-   0.612   0.727   0.695
 66  O2-   0.388   0.227   0.805
 67  O2-   0.388   0.273   0.305
 68  O2-   0.376   0.976   0.055
 69  O2-   0.376   0.524   0.555
 70  O2-   0.624   0.024   0.945
 71  O2-   0.624   0.476   0.445
 72  O2-   0.291   0.645   0.047
 73  O2-   0.291   0.855   0.547
 74  O2-   0.709   0.355   0.953
 75  O2-   0.709   0.145   0.453
 76  O2-   0.386   0.273   0.134
 77  O2-   0.386   0.227   0.634
 78  O2-   0.614   0.727   0.866
 79  O2-   0.614   0.773   0.366
 80  O2-   0.275   0.755   0.197
 81  O2-   0.275   0.745   0.697
 82  O2-   0.725   0.245   0.803
 83  O2-   0.725   0.255   0.303

space_group_IT_number 14

*** lse ***


**isite= 0
