cif name= ./1528989.cif
./1528989.cif
Full Formula (La16 Hf16 O56)
Reduced Formula: La2Hf2O7
abc   :  10.772800  10.772800  10.772800
angles:  90.000000  90.000000  90.000000
Sites (88)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  La    0.125   0.125   0.125
  1  La    0.125   0.375   0.375
  2  La    0.375   0.875   0.625
  3  La    0.375   0.125   0.375
  4  La    0.125   0.625   0.625
  5  La    0.125   0.875   0.875
  6  La    0.375   0.375   0.125
  7  La    0.375   0.625   0.875
  8  La    0.625   0.125   0.625
  9  La    0.625   0.375   0.875
 10  La    0.875   0.875   0.125
 11  La    0.875   0.125   0.875
 12  La    0.625   0.625   0.125
 13  La    0.625   0.875   0.375
 14  La    0.875   0.375   0.625
 15  La    0.875   0.625   0.375
 16  Hf    0.125   0.125   0.625
 17  Hf    0.125   0.875   0.375
 18  Hf    0.375   0.375   0.625
 19  Hf    0.375   0.125   0.875
 20  Hf    0.125   0.625   0.125
 21  Hf    0.125   0.375   0.875
 22  Hf    0.375   0.875   0.125
 23  Hf    0.375   0.625   0.375
 24  Hf    0.625   0.125   0.125
 25  Hf    0.625   0.875   0.875
 26  Hf    0.875   0.375   0.125
 27  Hf    0.875   0.125   0.375
 28  Hf    0.625   0.625   0.625
 29  Hf    0.625   0.375   0.375
 30  Hf    0.875   0.875   0.625
 31  Hf    0.875   0.625   0.875
 32  O     0.5452  0.25    0.75
 33  O     0.5     0.7952  0.5
 34  O     0.4548  0.25    0.25
 35  O     0.5     0.2048  0.5
 36  O     0.25    0.0452  0.25
 37  O     0.2048  0       0
 38  O     0.25    0.4548  0.25
 39  O     0.2952  0       0.5
 40  O     0.25    0.25    0.0452
 41  O     0.25    0.25    0.4548
 42  O     0.5     0       0.7048
 43  O     0.5     0       0.2952
 44  O     0.25    0.75    0.25
 45  O     0.5     0.5     0.5
 46  O     0.5452  0.75    0.25
 47  O     0.5     0.2952  0
 48  O     0.4548  0.75    0.75
 49  O     0.5     0.7048  0
 50  O     0.25    0.5452  0.75
 51  O     0.2048  0.5     0.5
 52  O     0.25    0.9548  0.75
