cif name= ./6000235.cif
./6000235.cif
Full Formula (Sr8 Al28 O50)
Reduced Formula: Sr4Al14O25
abc   :  24.745100   8.473500   4.880800
angles:  90.000000  90.000000  90.000000
Sites (86)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  Sr    0.6379  0.5     0.0346
  1  Sr    0.8621  0.5     0.0346
  2  Sr    0.1379  0.5     0.9654
  3  Sr    0.3621  0.5     0.9654
  4  Sr    0.621   0       0.1154
  5  Sr    0.879   0       0.1154
  6  Sr    0.121   0       0.8846
  7  Sr    0.379   0       0.8846
  8  Al    0.6861  0.1936  0.6196
  9  Al    0.8139  0.8064  0.6196
 10  Al    0.1861  0.8064  0.3804
 11  Al    0.3139  0.1936  0.3804
 12  Al    0.3139  0.8064  0.3804
 13  Al    0.1861  0.1936  0.3804
 14  Al    0.8139  0.1936  0.6196
 15  Al    0.6861  0.8064  0.6196
 16  Al    0.5661  0.3218  0.5126
 17  Al    0.9339  0.6782  0.5126
 18  Al    0.0661  0.6782  0.4874
 19  Al    0.4339  0.3218  0.4874
 20  Al    0.4339  0.6782  0.4874
 21  Al    0.0661  0.3218  0.4874
 22  Al    0.9339  0.3218  0.5126
 23  Al    0.5661  0.6782  0.5126
 24  Al    0.75    0.295   0.1297
 25  Al    0.75    0.705   0.1297
 26  Al    0.25    0.705   0.8703
 27  Al    0.25    0.295   0.8703
 28  Al    0.5     0.1675  0
 29  Al    0       0.8325  0
 30  Al    0.5     0.8325  0
 31  Al    0       0.1675  0
 32  Al    0.5     0       0.5
 33  Al    0       0       0.5
 34  Al    0.5     0.5     0
 35  Al    0       0.5     0
 36  O     0.5424  0.1638  0.3295
 37  O     0.9576  0.8362  0.3295
 38  O     0.0424  0.8362  0.6705
 39  O     0.4576  0.1638  0.6705
 40  O     0.4576  0.8362  0.6705
 41  O     0.0424  0.1638  0.6705
 42  O     0.9576  0.1638  0.3295
 43  O     0.5424  0.8362  0.3295
 44  O     0.6378  0.3173  0.5013
 45  O     0.8622  0.6827  0.5013
 46  O     0.1378  0.6827  0.4987
 47  O     0.3622  0.3173  0.4987
 48  O     0.3622  0.6827  0.4987
 49  O     0.1378  0.3173  0.4987
 50  O     0.8622  0.3173  0.5013
 51  O     0.6378  0.6827  0.5013
 52  O     0.6916  0.2285  0.9735
 53  O     0.8084  0.7715  0.9735
 54  O     0.1916  0.7715  0.0265
 55  O     0.3084  0.2285  0.0265
 56  O     0.3084  0.7715  0.0265
 57  O     0.1916  0.2285  0.0265
 58  O     0.8084  0.2285  0.9735
 59  O     0.6916  0.7715  0.9735
 60  O     0.75    0.2286  0.4796
 61  O     0.75    0.7714  0.4796
 62  O     0.25    0.7714  0.5204
 63  O     0.25    0.2286  0.5204
 64  O     0.5367  0       0.8287
 65  O     0.9633  0       0.8287
 66  O     0.0367  0       0.1713
 67  O     0.4633  0       0.1713
 68  O     0.5512  0.5     0.3548
 69  O     0.9488  0.5     0.3548
 70  O     0.0512  0.5     0.6452
 71  O     0.4488  0.5     0.6452
 72  O     0.6639  0       0.5777
 73  O     0.8361  0       0.5777
 74  O     0.1639  0       0.4223
 75  O     0.3361  0       0.4223
 76  O     0.5435  0.3348  0.8467
 77  O     0.9565  0.6652  0.8467
 78  O     0.0435  0.6652  0.1533
 79  O     0.4565  0.3348  0.1533
 80  O     0.4565  0.6652  0.1533
 81  O     0.0435  0.3348  0.1533
 82  O     0.9565  0.3348  0.8467
 83  O     0.5435  0.6652  0.8467
 84  O     0.75    0.5     0.1001
 85  O     0.25    0.5     0.8999

