cif name= ./4123969.cif
./4123969.cif
Full Formula (Sr18 Rh15 O45)
Reduced Formula: Sr6(RhO3)5
abc   :   9.651700   9.651700  13.048000
angles:  90.000000  90.000000 120.000000
Sites (78)
  #  SP           a          b         c
---  ----  --------  ---------  --------
  0  Sr    0.009033   0.666667  0.666667
  1  Sr    0          0.6757    0
  2  Sr    0.3243     0.3243    0
  3  Sr    0.018667   0.333333  0.833333
  4  Sr    0.666667   0.685333  0.833333
  5  Sr    0.314667   0.981333  0.833333
  6  Sr    0.6757     0         0
  7  Sr    0.666667   0.009033  0.333333
  8  Sr    0.990967   0.657633  0.333333
  9  Sr    0.685333   0.666667  0.166667
 10  Sr    0.333333   0.018667  0.166667
 11  Sr    0.981333   0.314667  0.166667
 12  Sr    0.342367   0.333333  0.333333
 13  Sr    0.333333   0.342367  0.666667
 14  Sr    0.657633   0.990967  0.666667
 15  Sr    0.352      0         0.5
 16  Sr    0          0.352     0.5
 17  Sr    0.648      0.648     0.5
 18  Rh    0.666667   0.333333  0.833333
 19  Rh    0.666667   0.333333  0.237503
 20  Rh    0.666667   0.333333  0.429163
 21  Rh    0.666667   0.333333  0.041843
 22  Rh    0.666667   0.333333  0.624823
 23  Rh    0.333333   0.666667  0.166667
 24  Rh    0.333333   0.666667  0.570837
 25  Rh    0.333333   0.666667  0.762497
 26  Rh    0.333333   0.666667  0.375177
 27  Rh    0.333333   0.666667  0.958157
 28  Rh    0          0         0.5
 29  Rh    0          0         0.90417
 30  Rh    0         -0         0.09583
 31  Rh    0          0         0.70851
 32  Rh    0         -0         0.29149
 33  O     0.514667   0.189333  0.942933
 34  O     0.810667   0.325333  0.942933
 35  O     0.674667   0.485333  0.942933
 36  O     0.522667   0.181333  0.723733
 37  O     0.818667   0.341333  0.723733
 38  O     0.658667   0.477333  0.723733
 39  O     0.834967   0.495533  0.142833
 40  O     0.504467   0.339433  0.142833
 41  O     0.660567   0.165033  0.142833
 42  O     0.828867   0.501633  0.523833
