cif name= ./2300211.cif
./2300211.cif
Full Formula (Lu16 Si8 O40)
Reduced Formula: Lu2SiO5
abc   :  14.263807   6.646500  10.255000
angles:  90.000000 122.175474  90.000000
Sites (64)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  Lu    0.85906  0.87736  0.66356
  1  Lu    0.14094  0.87736  0.83644
  2  Lu    0.14094  0.12264  0.33644
  3  Lu    0.85906  0.12264  0.16356
  4  Lu    0.96264  0.24393  0.53302
  5  Lu    0.03736  0.24393  0.96698
  6  Lu    0.03736  0.75607  0.46698
  7  Lu    0.96264  0.75607  0.03302
  8  Lu    0.35906  0.37736  0.66356
  9  Lu    0.64094  0.37736  0.83644
 10  Lu    0.64094  0.62264  0.33644
 11  Lu    0.35906  0.62264  0.16356
 12  Lu    0.46264  0.74393  0.53302
 13  Lu    0.53736  0.74393  0.96698
 14  Lu    0.53736  0.25607  0.46698
 15  Lu    0.46264  0.25607  0.03302
 16  Si    0.18224  0.4083   0.80696
 17  Si    0.31776  0.9083   0.69304
 18  Si    0.81776  0.5917   0.19304
 19  Si    0.68224  0.0917   0.30696
 20  Si    0.68224  0.9083   0.80696
 21  Si    0.81776  0.4083   0.69304
 22  Si    0.31776  0.0917   0.19304
 23  Si    0.18224  0.5917   0.30696
 24  O     0.2985   0.3513   0.8247
 25  O     0.2015   0.8513   0.6753
 26  O     0.7015   0.6487   0.1753
 27  O     0.7985   0.1487   0.3247
 28  O     0.8794   0.2109   0.6756
 29  O     0.1206   0.2109   0.8244
 30  O     0.1206   0.7891   0.3244
 31  O     0.8794   0.7891   0.1756
 32  O     0.798    0.5713   0.5624
 33  O     0.202    0.5713   0.9376
 34  O     0.202    0.4287   0.4376
 35  O     0.798    0.4287   0.0624
 36  O     0.9822   0.9032   0.6027
 37  O     0.0178   0.9032   0.8973
 38  O     0.0178   0.0968   0.3973
 39  O     0.9822   0.0968   0.1027
 40  O     0.9115   0.5051   0.3621
 41  O     0.5885   0.0051   0.1379
 42  O     0.0885   0.4949   0.6379
 43  O     0.4115   0.9949   0.8621
