cif name= ./1530637.cif
./1530637.cif
Full Formula (Y16 Mo16 O56)
Reduced Formula: Y2Mo2O7
abc   :  10.230000  10.230000  10.230000
angles:  90.000000  90.000000  90.000000
Sites (88)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  Y     0.125   0.125   0.125
  1  Y     0.125   0.375   0.375
  2  Y     0.375   0.875   0.625
  3  Y     0.375   0.125   0.375
  4  Y     0.125   0.625   0.625
  5  Y     0.125   0.875   0.875
  6  Y     0.375   0.375   0.125
  7  Y     0.375   0.625   0.875
  8  Y     0.625   0.125   0.625
  9  Y     0.625   0.375   0.875
 10  Y     0.875   0.875   0.125
 11  Y     0.875   0.125   0.875
 12  Y     0.625   0.625   0.125
 13  Y     0.625   0.875   0.375
 14  Y     0.875   0.375   0.625
 15  Y     0.875   0.625   0.375
 16  Mo    0.125   0.125   0.625
 17  Mo    0.125   0.875   0.375
 18  Mo    0.375   0.375   0.625
 19  Mo    0.375   0.125   0.875
 20  Mo    0.125   0.625   0.125
 21  Mo    0.125   0.375   0.875
 22  Mo    0.375   0.875   0.125
 23  Mo    0.375   0.625   0.375
 24  Mo    0.625   0.125   0.125
 25  Mo    0.625   0.875   0.875
 26  Mo    0.875   0.375   0.125
 27  Mo    0.875   0.125   0.375
 28  Mo    0.625   0.625   0.625
 29  Mo    0.625   0.375   0.375
 30  Mo    0.875   0.875   0.625
 31  Mo    0.875   0.625   0.875
 32  O     0.5     0       0.5
 33  O     0.25    0.25    0.25
 34  O     0.4632  0.25    0.75
 35  O     0.5     0.7132  0.5
 36  O     0.5368  0.25    0.25
 37  O     0.5     0.2868  0.5
 38  O     0.25    0.9632  0.25
 39  O     0.2868  0       0
 40  O     0.25    0.5368  0.25
 41  O     0.2132  0       0.5
 42  O     0.25    0.25    0.9632
 43  O     0.25    0.25    0.5368
 44  O     0.5     0       0.7868
 45  O     0.5     0       0.2132
 46  O     0.5     0.5     0
 47  O     0.25    0.75    0.75
 48  O     0.4632  0.75    0.25
 49  O     0.5     0.2132  0
 50  O     0.5368  0.75    0.75
 51  O     0.5     0.7868  0
 52  O     0.25    0.4632  0.75
 53  O     0.2868  0.5     0.5
 54  O     0.25    0.0368  0.75
 55  O     0.2132  0.5     0
 56  O     0.25    0.75    0.4632
 57  O     0.25    0.75    0.0368
 58  O     0.5     0.5     0.2868
 59  O     0.5     0.5     0.7132
 60  O     0       0       0
 61  O     0.75    0.25    0.75
 62  O     0.9632  0.25    0.25
 63  O     0       0.7132  0
 64  O     0.0368  0.25    0.75
 65  O     0       0.2868  0
 66  O     0.75    0.9632  0.75
 67  O     0.7868  0       0.5
 68  O     0.75    0.5368  0.75
