cif name= ./9007986.cif
./9007986.cif
Full Formula (Ce16 Si16 O56)
Reduced Formula: Ce2Si2O7
abc   :   6.796400   6.796400  24.728200
angles:  90.000000  90.000000  90.000000
Sites (88)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  Ce    0.11721  0.23463  0.12562
  1  Ce    0.76537  0.11721  0.37562
  2  Ce    0.88279  0.76537  0.62562
  3  Ce    0.23463  0.88279  0.87562
  4  Ce    0.1675   0.51956  0.36782
  5  Ce    0.48044  0.1675   0.61782
  6  Ce    0.8325   0.48044  0.86782
  7  Ce    0.51956  0.8325   0.11782
  8  Ce    0.33539  0.0811   0.26563
  9  Ce    0.9189   0.33539  0.51563
 10  Ce    0.66461  0.9189   0.76563
 11  Ce    0.0811   0.66461  0.01563
 12  Ce    0.69879  0.23761  0.01578
 13  Ce    0.76239  0.69879  0.26578
 14  Ce    0.30121  0.76239  0.51578
 15  Ce    0.23761  0.30121  0.76578
 16  Si    0.2332   0.1505   2e-05
 17  Si    0.8495   0.2332   0.25002
 18  Si    0.7668   0.8495   0.50002
 19  Si    0.1505   0.7668   0.75002
 20  Si    0.2943   0.0053   0.39499
 21  Si    0.9947   0.2943   0.64499
 22  Si    0.7057   0.9947   0.89499
 23  Si    0.0053   0.7057   0.14499
 24  Si    0.3784   0.2598   0.49333
 25  Si    0.7402   0.3784   0.74333
 26  Si    0.6216   0.7402   0.99333
 27  Si    0.2598   0.6216   0.24333
 28  Si    0.5945   0.3035   0.15184
 29  Si    0.6965   0.5945   0.40184
 30  Si    0.4055   0.6965   0.65184
 31  Si    0.3035   0.4055   0.90184
 32  O     0.0404   0.1533   0.2183
 33  O     0.8467   0.0404   0.4683
 34  O     0.9596   0.8467   0.7183
 35  O     0.1533   0.9596   0.9683
 36  O     0.0397   0.4561   0.5985
 37  O     0.5439   0.0397   0.8485
 38  O     0.9603   0.5439   0.0985
 39  O     0.4561   0.9603   0.3485
 40  O     0.0553   0.2839   0.0247
 41  O     0.7161   0.0553   0.2747
 42  O     0.9447   0.7161   0.5247
 43  O     0.2839   0.9447   0.7747
 44  O     0.1212   0.5662   0.191
 45  O     0.4338   0.1212   0.441
 46  O     0.8788   0.4338   0.691
 47  O     0.5662   0.8788   0.941
 48  O     0.133    0.1502   0.3675
 49  O     0.8498   0.133    0.6175
 50  O     0.867    0.8498   0.8675
 51  O     0.1502   0.867    0.1175
 52  O     0.1865   0.2084   0.6723
 53  O     0.7916   0.1865   0.9223
 54  O     0.8135   0.7916   0.1723
 55  O     0.2084   0.8135   0.4223
 56  O     0.2369   0.4407   0.4736
 57  O     0.5593   0.2369   0.7236
 58  O     0.7631   0.5593   0.9736
 59  O     0.4407   0.7631   0.2236
 60  O     0.2431   0.1254   0.5343
 61  O     0.8746   0.2431   0.7843
 62  O     0.7569   0.8746   0.0343
 63  O     0.1254   0.7569   0.2843
 64  O     0.3276   0.4292   0.2756
 65  O     0.5708   0.3276   0.5256
 66  O     0.6724   0.5708   0.7756
 67  O     0.4292   0.6724   0.0256
 68  O     0.3826   0.1088   0.0507
 69  O     0.8912   0.3826   0.3007
 70  O     0.6174   0.8912   0.5507
 71  O     0.1088   0.6174   0.8007
 72  O     0.4286   0.1389   0.1711
 73  O     0.8611   0.4286   0.4211
 74  O     0.5714   0.8611   0.6711
 75  O     0.1389   0.5714   0.9211
 76  O     0.4805   0.4848   0.1248
 77  O     0.5152   0.4805   0.3748
 78  O     0.5195   0.5152   0.6248
 79  O     0.4848   0.5195   0.8748
 80  O     0.7159   0.3708   0.208
 81  O     0.6292   0.7159   0.458
 82  O     0.2841   0.6292   0.708
