cif name= ./7209493.cif
./7209493.cif
Full Formula (Ho16 B24 O60)
Reduced Formula: Ho4(B2O5)3
abc   :  11.641400   4.366600  18.825400
angles:  90.000000  96.706000  90.000000
Sites (100)
  #  SP          a        b         c
---  ----  -------  -------  --------
  0  Ho    0.63225  0.7081   0.098408
  1  Ho    0.86775  0.2081   0.401592
  2  Ho    0.86775  0.7919   0.901592
  3  Ho    0.63225  0.2919   0.598408
  4  Ho    0.86244  0.21267  0.196461
  5  Ho    0.63756  0.71267  0.303539
  6  Ho    0.63756  0.28733  0.803539
  7  Ho    0.86244  0.78733  0.696461
  8  Ho    0.13225  0.2081   0.098408
  9  Ho    0.36775  0.7081   0.401592
 10  Ho    0.36775  0.2919   0.901592
 11  Ho    0.13225  0.7919   0.598408
 12  Ho    0.36244  0.71267  0.196461
 13  Ho    0.13756  0.21267  0.303539
 14  Ho    0.13756  0.78733  0.803539
 15  Ho    0.36244  0.28733  0.696461
 16  B     0.8309   0.1931   0.0254
 17  B     0.6691   0.6931   0.4746
 18  B     0.6691   0.3069   0.9746
 19  B     0.8309   0.8069   0.5254
 20  B     0.9322   0.7257   0.3056
 21  B     0.5678   0.2257   0.1944
 22  B     0.5678   0.7743   0.6944
 23  B     0.9322   0.2743   0.8056
 24  B     0.5973   0.796    0.9129
 25  B     0.9027   0.296    0.5871
 26  B     0.9027   0.704    0.0871
 27  B     0.5973   0.204    0.4129
 28  B     0.3309   0.6931   0.0254
 29  B     0.1691   0.1931   0.4746
 30  B     0.1691   0.8069   0.9746
 31  B     0.3309   0.3069   0.5254
 32  B     0.4322   0.2257   0.3056
 33  B     0.0678   0.7257   0.1944
 34  B     0.0678   0.2743   0.6944
 35  B     0.4322   0.7743   0.8056
 36  B     0.0973   0.296    0.9129
 37  B     0.4027   0.796    0.5871
 38  B     0.4027   0.204    0.0871
 39  B     0.0973   0.704    0.4129
 40  O     0.936    0.4018   0.303
 41  O     0.564    0.9018   0.197
 42  O     0.564    0.0982   0.697
 43  O     0.936    0.5982   0.803
 44  O     0.6811   0.3688   0.2037
 45  O     0.8189   0.8688   0.2963
 46  O     0.8189   0.1312   0.7963
 47  O     0.6811   0.6312   0.7037
 48  O     0.5138   0.3244   0.1211
 49  O     0.9862   0.8244   0.3789
 50  O     0.9862   0.1756   0.8789
 51  O     0.5138   0.6756   0.6211
 52  O     0.8192   0.7391   0.1388
 53  O     0.6808   0.2391   0.3612
 54  O     0.6808   0.7609   0.8612
 55  O     0.8192   0.2609   0.6388
 56  O     0.9152   0.3735   0.0695
 57  O     0.5848   0.8735   0.4305
 58  O     0.5848   0.1265   0.9305
 59  O     0.9152   0.6265   0.5695
 60  O     0.7097   0.2042   0.05
 61  O     0.7903   0.7042   0.45
 62  O     0.7903   0.2958   0.95
 63  O     0.7097   0.7958   0.55
 64  O     0.6275   0.6199   0.9791
 65  O     0.8725   0.1199   0.5209
 66  O     0.8725   0.8801   0.0209
 67  O     0.6275   0.3801   0.4791
 68  O     0        0.868    0.25
 69  O     0        0.132    0.75
 70  O     0.436    0.9018   0.303
 71  O     0.064    0.4018   0.197
 72  O     0.064    0.5982   0.697
 73  O     0.436    0.0982   0.803
 74  O     0.1811   0.8688   0.2037
 75  O     0.3189   0.3688   0.2963
 76  O     0.3189   0.6312   0.7963
 77  O     0.1811   0.1312   0.7037
 78  O     0.0138   0.8244   0.1211
 79  O     0.4862   0.3244   0.3789
 80  O     0.4862   0.6756   0.8789
 81  O     0.0138   0.1756   0.6211
 82  O     0.3192   0.2391   0.1388
 83  O     0.1808   0.7391   0.3612
 84  O     0.1808   0.2609   0.8612
 85  O     0.3192   0.7609   0.6388
 86  O     0.4152   0.8735   0.0695
 87  O     0.0848   0.3735   0.4305
 88  O     0.0848   0.6265   0.9305
 89  O     0.4152   0.1265   0.5695
 90  O     0.2097   0.7042   0.05
 91  O     0.2903   0.2042   0.45
 92  O     0.2903   0.7958   0.95
 93  O     0.2097   0.2958   0.55
 94  O     0.1275   0.1199   0.9791
 95  O     0.3725   0.6199   0.5209
 96  O     0.3725   0.3801   0.0209
 97  O     0.1275   0.8801   0.4791
 98  O     0.5      0.368    0.25
