cif name= ./2105418.cif
./2105418.cif
Full Formula (Cu30 B20 O60)
Reduced Formula: Cu3(BO3)2
abc   :   3.353000  18.390118  18.409406
angles:  96.636997  90.311522  90.823608
Sites (110)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  Cu    0.47982  0.96716  0.82648
  1  Cu    0.52018  0.03284  0.17352
  2  Cu    0.1962   0.81627  0.03188
  3  Cu    0.8038   0.18373  0.96812
  4  Cu    0.00558  0.77611  0.1715
  5  Cu    0.99442  0.22389  0.8285
  6  Cu    0.85738  0.82813  0.78878
  7  Cu    0.14262  0.17187  0.21122
  8  Cu    0.60842  0.79747  0.44142
  9  Cu    0.39158  0.20253  0.55858
 10  Cu    0.42896  0.62415  0.22867
 11  Cu    0.57104  0.37585  0.77133
 12  Cu    0.21274  0.557    0.78763
 13  Cu    0.78726  0.443    0.21237
 14  Cu    0.82756  0.55981  0.95766
 15  Cu    0.17244  0.44019  0.04234
 16  Cu    0.03436  0.65102  0.3985
 17  Cu    0.96564  0.34898  0.6015
 18  Cu    0.68574  0.69089  0.90084
 19  Cu    0.31426  0.30911  0.09916
 20  Cu    0.5589   0.61181  0.64999
 21  Cu    0.4411   0.38819  0.35001
 22  Cu    0.16366  0.95969  0.43068
 23  Cu    0.83634  0.04031  0.56932
 24  Cu    0        0.5      0.5
 25  Cu    0        0        0
 26  Cu    0.56678  0.9071   0.30001
 27  Cu    0.43322  0.0929   0.69999
 28  Cu    0.2545   0.78257  0.62228
 29  Cu    0.7455   0.21743  0.37772
 30  B     0.4308   0.8558   0.9263
 31  B     0.5692   0.1442   0.0737
 32  B     0.1174   0.7104   0.7579
 33  B     0.8826   0.2896   0.2421
 34  B     0.9806   0.7595   0.2962
 35  B     0.0194   0.2405   0.7038
 36  B     0.3268   0.5383   0.3493
 37  B     0.6732   0.4617   0.6507
 38  B     0.6828   0.6603   0.5358
 39  B     0.3172   0.3397   0.4642
 40  B     0.7808   0.92     0.1376
 41  B     0.2192   0.08     0.8624
 42  B     0.4248   0.6689   0.0597
 43  B     0.5752   0.3311   0.9403
 44  B     0.1682   0.8912   0.5612
 45  B     0.8318   0.1088   0.4388
 46  B     0.8796   0.9426   0.6846
