cif name= ./1514225.cif
./1514225.cif
Full Formula (Na32 Mn16 O40)
Reduced Formula: Na4Mn2O5
abc   :   5.721000   9.425000  19.670000
angles:  90.000000  90.000000  90.000000
Sites (88)
  #  SP         a        b        c
---  ----  ------  -------  -------
  0  Na+   0.2532  0.0004   0.59032
  1  Na+   0.2468  0.0004   0.90968
  2  Na+   0.9968  0.2496   0.65968
  3  Na+   0.5032  0.2496   0.84032
  4  Na+   0.7532  0.9996   0.90968
  5  Na+   0.7468  0.9996   0.59032
  6  Na+   0.4968  0.7504   0.84032
  7  Na+   0.0032  0.7504   0.65968
  8  Na+   0.2532  0.5004   0.09032
  9  Na+   0.2468  0.5004   0.40968
 10  Na+   0.9968  0.7496   0.15968
 11  Na+   0.5032  0.7496   0.34032
 12  Na+   0.7532  0.4996   0.40968
 13  Na+   0.7468  0.4996   0.09032
 14  Na+   0.4968  0.2504   0.34032
 15  Na+   0.0032  0.2504   0.15968
 16  Na+   0.7532  0.0004   0.09032
 17  Na+   0.7468  0.0004   0.40968
 18  Na+   0.4968  0.2496   0.15968
 19  Na+   0.0032  0.2496   0.34032
 20  Na+   0.2532  0.9996   0.40968
 21  Na+   0.2468  0.9996   0.09032
 22  Na+   0.9968  0.7504   0.34032
 23  Na+   0.5032  0.7504   0.15968
 24  Na+   0.7532  0.5004   0.59032
 25  Na+   0.7468  0.5004   0.90968
 26  Na+   0.4968  0.7496   0.65968
 27  Na+   0.0032  0.7496   0.84032
 28  Na+   0.2532  0.4996   0.90968
 29  Na+   0.2468  0.4996   0.59032
 30  Na+   0.9968  0.2504   0.84032
 31  Na+   0.5032  0.2504   0.65968
 32  Mn3+  0.75    0.46945  0.75
 33  Mn3+  0.5     0.28055  0
 34  Mn3+  0.75    0.03055  0.75
 35  Mn3+  0.5     0.71945  0
 36  Mn3+  0.75    0.96945  0.25
 37  Mn3+  0.5     0.78055  0.5
 38  Mn3+  0.75    0.53055  0.25
 39  Mn3+  0.5     0.21945  0.5
