cif name= ./1511473.cif
./1511473.cif
Full Formula (Li16 B32 O56)
Reduced Formula: Li2B4O7
abc   :   9.479000   9.479000  10.290000
angles:  90.000000  90.000000  90.000000
Sites (104)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  Li    0.8503  0.6651  0.1492
  1  Li    0.6651  0.6497  0.3992
  2  Li    0.6497  0.8349  0.6492
  3  Li    0.8349  0.8503  0.8992
  4  Li    0.1497  0.6651  0.6492
  5  Li    0.1651  0.8503  0.3992
  6  Li    0.3503  0.8349  0.1492
  7  Li    0.3349  0.6497  0.8992
  8  Li    0.3503  0.1651  0.6492
  9  Li    0.1651  0.1497  0.8992
 10  Li    0.1497  0.3349  0.1492
 11  Li    0.3349  0.3503  0.3992
 12  Li    0.6497  0.1651  0.1492
 13  Li    0.6651  0.3503  0.8992
 14  Li    0.8503  0.3349  0.6492
 15  Li    0.8349  0.1497  0.3992
 16  B     0.8319  0.5861  0.7993
 17  B     0.5861  0.6681  0.0493
 18  B     0.6681  0.9139  0.2993
 19  B     0.9139  0.8319  0.5493
 20  B     0.6681  0.0861  0.7993
 21  B     0.5861  0.3319  0.5493
 22  B     0.8319  0.4139  0.2993
 23  B     0.9139  0.1681  0.0493
 24  B     0.5537  0.1125  0.4176
 25  B     0.6125  0.4463  0.1676
 26  B     0.4463  0.8875  0.4176
 27  B     0.3875  0.5537  0.1676
 28  B     0.9463  0.6125  0.4176
 29  B     0.1125  0.0537  0.1676
 30  B     0.5537  0.8875  0.9176
 31  B     0.8875  0.9463  0.1676
 32  B     0.3319  0.0861  0.2993
 33  B     0.0861  0.1681  0.5493
 34  B     0.1681  0.4139  0.7993
 35  B     0.4139  0.3319  0.0493
 36  B     0.1681  0.5861  0.2993
 37  B     0.0861  0.8319  0.0493
 38  B     0.3319  0.9139  0.7993
 39  B     0.4139  0.6681  0.5493
 40  B     0.0537  0.6125  0.9176
 41  B     0.1125  0.9463  0.6676
 42  B     0.9463  0.3875  0.9176
 43  B     0.8875  0.0537  0.6676
 44  B     0.4463  0.1125  0.9176
 45  B     0.6125  0.5537  0.6676
 46  B     0.0537  0.3875  0.4176
 47  B     0.3875  0.4463  0.6676
 48  O     0       0.5     0
 49  O     0.5     0.5     0.25
 50  O     0       0.5     0.5
 51  O     0       0       0.25
 52  O     0.8438  0.4432  0.8189
 53  O     0.4432  0.6562  0.0689
 54  O     0.6562  0.0568  0.3189
 55  O     0.0568  0.8438  0.5689
 56  O     0.6562  0.9432  0.8189
 57  O     0.9432  0.8438  0.0689
 58  O     0.8438  0.5568  0.3189
 59  O     0.0568  0.1562  0.0689
 60  O     0.4329  0.1776  0.3438
 61  O     0.6776  0.5671  0.0938
 62  O     0.5671  0.8224  0.3438
 63  O     0.3224  0.4329  0.0938
 64  O     0.0671  0.6776  0.3438
 65  O     0.6776  0.4329  0.5938
 66  O     0.4329  0.8224  0.8438
 67  O     0.8224  0.0671  0.0938
 68  O     0.2183  0.1372  0.2347
 69  O     0.6372  0.7817  0.9847
 70  O     0.7817  0.8628  0.2347
 71  O     0.8628  0.7183  0.4847
 72  O     0.2817  0.6372  0.2347
 73  O     0.6372  0.2183  0.4847
 74  O     0.7183  0.3628  0.2347
 75  O     0.8628  0.2817  0.9847
 76  O     0.5     0       0.5
 77  O     0       0       0.75
 78  O     0.5     0       0
 79  O     0.5     0.5     0.75
 80  O     0.3438  0.9432  0.3189
 81  O     0.9432  0.1562  0.5689
 82  O     0.1562  0.5568  0.8189
 83  O     0.5568  0.3438  0.0689
 84  O     0.1562  0.4432  0.3189
 85  O     0.4432  0.3438  0.5689
 86  O     0.3438  0.0568  0.8189
 87  O     0.5568  0.6562  0.5689
 88  O     0.9329  0.6776  0.8438
 89  O     0.1776  0.0671  0.5938
 90  O     0.0671  0.3224  0.8438
 91  O     0.8224  0.9329  0.5938
 92  O     0.5671  0.1776  0.8438
 93  O     0.1776  0.9329  0.0938
 94  O     0.9329  0.3224  0.3438
 95  O     0.3224  0.5671  0.5938
 96  O     0.7183  0.6372  0.7347
 97  O     0.1372  0.2817  0.4847
 98  O     0.2817  0.3628  0.7347
 99  O     0.3628  0.2183  0.9847
100  O     0.7817  0.1372  0.7347
101  O     0.1372  0.7183  0.9847
102  O     0.2183  0.8628  0.7347
