cif name= ./4030273.cif
./4030273.cif
Full Formula (K8 Ge32 O68)
Reduced Formula: K2Ge8O17
abc   :  13.371000   8.800000  13.372000
angles:  90.000000  90.000000  90.000000
Sites (108)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  K     0.5966   0.25     0.4821
  1  K     0.9034   0.75     0.9821
  2  K     0.0966   0.25     0.0179
  3  K     0.4034   0.75     0.5179
  4  K     0.5069   0.25     0.0957
  5  K     0.9931   0.75     0.5957
  6  K     0.0069   0.25     0.4043
  7  K     0.4931   0.75     0.9043
  8  Ge    0.4142   0.09096  0.69203
  9  Ge    0.0858   0.90904  0.19203
 10  Ge    0.9142   0.40904  0.80797
 11  Ge    0.5858   0.59096  0.30797
 12  Ge    0.5858   0.90904  0.30797
 13  Ge    0.9142   0.09096  0.80797
 14  Ge    0.0858   0.59096  0.19203
 15  Ge    0.4142   0.40904  0.69203
 16  Ge    0.19066  0.07146  0.61444
 17  Ge    0.30934  0.92854  0.11444
 18  Ge    0.69066  0.42854  0.88556
 19  Ge    0.80934  0.57146  0.38556
 20  Ge    0.80934  0.92854  0.38556
 21  Ge    0.69066  0.07146  0.88556
 22  Ge    0.30934  0.57146  0.11444
 23  Ge    0.19066  0.42854  0.61444
 24  Ge    0.33085  0.07808  0.89684
 25  Ge    0.16915  0.92192  0.39684
 26  Ge    0.83085  0.42192  0.60316
 27  Ge    0.66915  0.57808  0.10316
 28  Ge    0.66915  0.92192  0.10316
 29  Ge    0.83085  0.07808  0.60316
 30  Ge    0.16915  0.57808  0.39684
 31  Ge    0.33085  0.42192  0.89684
 32  Ge    0.12571  0.92918  0.82459
 33  Ge    0.37429  0.07082  0.32459
 34  Ge    0.62571  0.57082  0.67541
 35  Ge    0.87429  0.42918  0.17541
 36  Ge    0.87429  0.07082  0.17541
 37  Ge    0.62571  0.92918  0.67541
 38  Ge    0.37429  0.42918  0.32459
 39  Ge    0.12571  0.57082  0.82459
 40  O     0.4866   0.25     0.652
 41  O     0.0134   0.75     0.152
 42  O     0.9866   0.25     0.848
 43  O     0.5134   0.75     0.348
 44  O     0.3554   0.25     0.958
 45  O     0.1446   0.75     0.458
 46  O     0.8554   0.25     0.542
