cif name= ./1536817.cif
./1536817.cif
Full Formula (In10 Mo36 O56)
Reduced Formula: In5(Mo9O14)2
abc   :  13.231300   9.518800   9.894800
angles:  90.000000 100.976000  90.000000
Sites (102)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  In    0.8993   0.04603  0.56594
  1  In    0.1007   0.54603  0.93406
  2  In    0.1007   0.95397  0.43406
  3  In    0.8993   0.45397  0.06594
  4  In    0.70126  0.99193  0.5584
  5  In    0.29874  0.49193  0.9416
  6  In    0.29874  0.00807  0.4416
  7  In    0.70126  0.50807  0.0584
  8  In    0.5      0        0.5
  9  In    0.5      0.5      0
 10  Mo    0.92623  0.87258  0.03298
 11  Mo    0.07377  0.37258  0.46702
 12  Mo    0.07377  0.12742  0.96702
 13  Mo    0.92623  0.62742  0.53298
 14  Mo    0.50121  0.10877  0.08658
 15  Mo    0.49879  0.60877  0.41342
 16  Mo    0.49879  0.89123  0.91342
 17  Mo    0.50121  0.39123  0.58658
 18  Mo    0.71462  0.88379  0.96448
 19  Mo    0.28538  0.38379  0.53552
 20  Mo    0.28538  0.11621  0.03552
 21  Mo    0.71462  0.61621  0.46448
 22  Mo    0.7177   0.11441  0.14649
 23  Mo    0.2823   0.61441  0.35351
 24  Mo    0.2823   0.88559  0.85351
 25  Mo    0.7177   0.38559  0.64649
 26  Mo    0.6202   0.12934  0.8773
 27  Mo    0.3798   0.62934  0.6227
 28  Mo    0.3798   0.87066  0.1227
 29  Mo    0.6202   0.37066  0.3773
 30  Mo    0.6194   0.86912  0.18344
 31  Mo    0.3806   0.36912  0.31656
 32  Mo    0.3806   0.13088  0.81656
 33  Mo    0.6194   0.63088  0.68344
 34  Mo    0.92972  0.11229  0.19518
 35  Mo    0.07028  0.61229  0.30482
 36  Mo    0.07028  0.88771  0.80482
 37  Mo    0.92972  0.38771  0.69518
 38  Mo    0.82438  0.8667   0.2384
 39  Mo    0.17562  0.3667   0.2616
 40  Mo    0.17562  0.1333   0.7616
 41  Mo    0.82438  0.6333   0.7384
 42  Mo    0.82451  0.12275  0.92572
 43  Mo    0.17549  0.62275  0.57428
 44  Mo    0.17549  0.87725  0.07428
 45  Mo    0.82451  0.37725  0.42572
 46  O     0.95009  0.00496  0.86868
 47  O     0.04991  0.50496  0.63132
 48  O     0.04991  0.99504  0.13132
 49  O     0.95009  0.49504  0.36868
 50  O     0.72153  0.98996  0.31762
 51  O     0.27847  0.48996  0.18238
 52  O     0.27847  0.01004  0.68238
 53  O     0.72153  0.51004  0.81762
 54  O     0.49974  0.02498  0.75174
 55  O     0.50026  0.52498  0.74826
 56  O     0.50026  0.97502  0.24826
 57  O     0.49974  0.47502  0.25174
 58  O     0.93983  0.98799  0.36208
 59  O     0.06017  0.48799  0.13792
 60  O     0.06017  0.01201  0.63792
 61  O     0.93983  0.51201  0.86208
 62  O     0.50109  0.24751  0.9285
 63  O     0.49891  0.74751  0.5715
 64  O     0.49891  0.75249  0.0715
 65  O     0.50109  0.25249  0.4285
 66  O     0.60864  0.76471  0.84784
 67  O     0.39136  0.26471  0.65216
