cif name= ./9006337.cif
./9006337.cif
Full Formula (Mg16 Si16 O48)
Reduced Formula: MgSiO3
abc   :   5.181000  18.251000   8.814000
angles:  90.000000  90.000000  90.000000
Sites (80)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  Mg    0.134   0.3758  0.3463
  1  Mg    0.634   0.3758  0.1537
  2  Mg    0.366   0.6242  0.8463
  3  Mg    0.134   0.1242  0.8463
  4  Mg    0.866   0.8758  0.1537
  5  Mg    0.366   0.8758  0.3463
  6  Mg    0.634   0.1242  0.6537
  7  Mg    0.866   0.6242  0.6537
  8  Mg    0.641   0.3768  0.5131
  9  Mg    0.141   0.3768  0.9869
 10  Mg    0.859   0.6232  0.0131
 11  Mg    0.641   0.1232  0.0131
 12  Mg    0.359   0.8768  0.9869
 13  Mg    0.859   0.8768  0.5131
 14  Mg    0.141   0.1232  0.4869
 15  Mg    0.359   0.6232  0.4869
 16  Si    0.9495  0.2717  0.6585
 17  Si    0.4495  0.2717  0.8415
 18  Si    0.5505  0.7283  0.1585
 19  Si    0.9495  0.2283  0.1585
 20  Si    0.0505  0.7717  0.8415
 21  Si    0.5505  0.7717  0.6585
 22  Si    0.4495  0.2283  0.3415
 23  Si    0.0505  0.7283  0.3415
 24  Si    0.2017  0.4735  0.6626
 25  Si    0.7017  0.4735  0.8374
 26  Si    0.2983  0.5265  0.1626
 27  Si    0.2017  0.0265  0.1626
 28  Si    0.7983  0.9735  0.8374
 29  Si    0.2983  0.9735  0.6626
 30  Si    0.7017  0.0265  0.3374
 31  Si    0.7983  0.5265  0.3374
 32  O     0.9644  0.1834  0.66
 33  O     0.4644  0.1834  0.84
 34  O     0.5356  0.8166  0.16
 35  O     0.9644  0.3166  0.16
 36  O     0.0356  0.6834  0.84
 37  O     0.5356  0.6834  0.66
 38  O     0.4644  0.3166  0.34
 39  O     0.0356  0.8166  0.34
 40  O     0.1998  0.5625  0.6597
 41  O     0.6998  0.5625  0.8403
 42  O     0.3002  0.4375  0.1597
 43  O     0.1998  0.9375  0.1597
 44  O     0.8002  0.0625  0.8403
 45  O     0.3002  0.0625  0.6597
 46  O     0.6998  0.9375  0.3403
 47  O     0.8002  0.4375  0.3403
 48  O     0.9568  0.3108  0.4973
 49  O     0.4568  0.3108  0.0027
 50  O     0.5432  0.6892  0.9973
 51  O     0.9568  0.1892  0.9973
