cif name= ./1530846.cif
./1530846.cif
Full Formula (Er16 Mn16 O56)
Reduced Formula: Er2Mn2O7
abc   :   9.875000   9.875000   9.875000
angles:  90.000000  90.000000  90.000000
Sites (88)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  Er    0.125   0.125   0.125
  1  Er    0.125   0.375   0.375
  2  Er    0.375   0.875   0.625
  3  Er    0.375   0.125   0.375
  4  Er    0.125   0.625   0.625
  5  Er    0.125   0.875   0.875
  6  Er    0.375   0.375   0.125
  7  Er    0.375   0.625   0.875
  8  Er    0.625   0.125   0.625
  9  Er    0.625   0.375   0.875
 10  Er    0.875   0.875   0.125
 11  Er    0.875   0.125   0.875
 12  Er    0.625   0.625   0.125
 13  Er    0.625   0.875   0.375
 14  Er    0.875   0.375   0.625
 15  Er    0.875   0.625   0.375
 16  Mn    0.125   0.125   0.625
 17  Mn    0.125   0.875   0.375
 18  Mn    0.375   0.375   0.625
 19  Mn    0.375   0.125   0.875
 20  Mn    0.125   0.625   0.125
 21  Mn    0.125   0.375   0.875
 22  Mn    0.375   0.875   0.125
 23  Mn    0.375   0.625   0.375
 24  Mn    0.625   0.125   0.125
 25  Mn    0.625   0.875   0.875
 26  Mn    0.875   0.375   0.125
 27  Mn    0.875   0.125   0.375
 28  Mn    0.625   0.625   0.625
 29  Mn    0.625   0.375   0.375
 30  Mn    0.875   0.875   0.625
 31  Mn    0.875   0.625   0.875
 32  O     0.4531  0.25    0.75
 33  O     0.5     0.7031  0.5
 34  O     0.5469  0.25    0.25
 35  O     0.5     0.2969  0.5
 36  O     0.25    0.9531  0.25
 37  O     0.2969  0       0
 38  O     0.25    0.5469  0.25
 39  O     0.2031  0       0.5
 40  O     0.25    0.25    0.9531
 41  O     0.25    0.25    0.5469
 42  O     0.5     0       0.7969
 43  O     0.5     0       0.2031
 44  O     0.5     0       0.5
 45  O     0.25    0.25    0.25
 46  O     0.4531  0.75    0.25
 47  O     0.5     0.2031  0
 48  O     0.5469  0.75    0.75
 49  O     0.5     0.7969  0
 50  O     0.25    0.4531  0.75
 51  O     0.2969  0.5     0.5
 52  O     0.25    0.0469  0.75
 53  O     0.2031  0.5     0
 54  O     0.25    0.75    0.4531
 55  O     0.25    0.75    0.0469
 56  O     0.5     0.5     0.2969
 57  O     0.5     0.5     0.7031
 58  O     0.5     0.5     0
 59  O     0.25    0.75    0.75
 60  O     0.9531  0.25    0.25
 61  O     0       0.7031  0
 62  O     0.0469  0.25    0.75
 63  O     0       0.2969  0
 64  O     0.75    0.9531  0.75
 65  O     0.7969  0       0.5
 66  O     0.75    0.5469  0.75
 67  O     0.7031  0       0
 68  O     0.75    0.25    0.4531
 69  O     0.75    0.25    0.0469
 70  O     0       0       0.2969
 71  O     0       0       0.7031
 72  O     0       0       0
 73  O     0.75    0.25    0.75
 74  O     0.9531  0.75    0.75
 75  O     0       0.2031  0.5
 76  O     0.0469  0.75    0.25
 77  O     0       0.7969  0.5
 78  O     0.75    0.4531  0.25
