cif name= ./4001027.cif
./4001027.cif
Full Formula (Rh28 Pb12 O60)
Reduced Formula: Rh7(PbO5)3
abc   :  10.353700  10.353700  13.283700
angles:  90.000000  90.000000 120.000000
Sites (100)
  #  SP           a         b        c
---  ----  --------  --------  -------
  0  Rh    0.666667  0.333333  0.64868
  1  Rh    0.333333  0.666667  0.14868
  2  Rh    0.333333  0.666667  0.85132
  3  Rh    0.666667  0.333333  0.35132
  4  Rh    0.333333  0.666667  0.35132
  5  Rh    0.666667  0.333333  0.85132
  6  Rh    0.666667  0.333333  0.14868
  7  Rh    0.333333  0.666667  0.64868
  8  Rh    0.66336   0.83168   0.5
  9  Rh    0.16832   0.83168   0.5
 10  Rh    0.16832   0.33664   0.5
 11  Rh    0.33664   0.16832   0
 12  Rh    0.83168   0.16832   0
 13  Rh    0.83168   0.66336   0
 14  Rh    0.33664   0.16832   0.5
 15  Rh    0.83168   0.16832   0.5
 16  Rh    0.83168   0.66336   0.5
 17  Rh    0.66336   0.83168   0
 18  Rh    0.16832   0.83168   0
 19  Rh    0.16832   0.33664   0
 20  Rh    0         0         0.5
 21  Rh    0         0         0
 22  Rh    0.5       0         0.5
 23  Rh    0         0.5       0.5
 24  Rh    0.5       0.5       0.5
 25  Rh    0.5       0         0
 26  Rh    0         0.5       0
 27  Rh    0.5       0.5       0
 28  Pb    0         0.39508   0.75
 29  Pb    0.60492   0.60492   0.75
 30  Pb    0.39508   0         0.75
 31  Pb    0         0.60492   0.25
 32  Pb    0.39508   0.39508   0.25
 33  Pb    0.60492   0         0.25
 34  Pb    0.73646   0         0.75
 35  Pb    0         0.73646   0.75
 36  Pb    0.26354   0.26354   0.75
 37  Pb    0.26354   0         0.25
 38  Pb    0         0.26354   0.25
 39  Pb    0.73646   0.73646   0.25
 40  O     0.6664    0         0.5792
 41  O     0         0.6664    0.5792
 42  O     0.3336    0.3336    0.5792
 43  O     0.3336    0         0.0792
 44  O     0         0.3336    0.0792
 45  O     0.6664    0.6664    0.0792
 46  O     0         0.6664    0.9208
 47  O     0.6664    0         0.9208
 48  O     0.3336    0.3336    0.9208
 49  O     0         0.3336    0.4208
 50  O     0.3336    0         0.4208
 51  O     0.6664    0.6664    0.4208
 52  O     0.8309    0.8309    0.5768
