cif name= ./1510920.cif
./1510920.cif
Full Formula (K12 B36 O60)
Reduced Formula: KB3O5
abc   :   9.319000   6.648000  21.094000
angles:  90.000000  94.380000  90.000000
Sites (108)
  #  SP         a       b        c
---  ----  ------  ------  -------
  0  K     0.4034  0.6857  0.38361
  1  K     0.5966  0.1857  0.11639
  2  K     0.5966  0.3143  0.61639
  3  K     0.4034  0.8143  0.88361
  4  K     0.0681  0.0364  0.26005
  5  K     0.9319  0.5364  0.23995
  6  K     0.9319  0.9636  0.73995
  7  K     0.0681  0.4636  0.76005
  8  K     0.2305  0.6987  0.53785
  9  K     0.7695  0.1987  0.96215
 10  K     0.7695  0.3013  0.46215
 11  K     0.2305  0.8013  0.03785
 12  B     0.1471  0.0038  0.4208
 13  B     0.8529  0.5038  0.0792
 14  B     0.8529  0.9962  0.5792
 15  B     0.1471  0.4962  0.9208
 16  B     0.2006  0.0729  0.6672
 17  B     0.7994  0.5729  0.8328
 18  B     0.7994  0.9271  0.3328
 19  B     0.2006  0.4271  0.1672
 20  B     0.6474  0.2031  0.2841
 21  B     0.3526  0.7031  0.2159
 22  B     0.3526  0.7969  0.7159
 23  B     0.6474  0.2969  0.7841
 24  B     0.3315  0.2504  0.4634
 25  B     0.6685  0.7504  0.0366
 26  B     0.6685  0.7496  0.5366
 27  B     0.3315  0.2496  0.9634
 28  B     0.0176  0.2974  0.612
 29  B     0.9824  0.7974  0.888
 30  B     0.9824  0.7026  0.388
 31  B     0.0176  0.2026  0.112
 32  B     0.255   0.2394  0.5708
 33  B     0.745   0.7394  0.9292
 34  B     0.745   0.7606  0.4292
 35  B     0.255   0.2606  0.0708
 36  B     0.106   0.3577  0.4003
 37  B     0.894   0.8577  0.0997
 38  B     0.894   0.6423  0.5997
 39  B     0.106   0.1423  0.9003
 40  B     0.4161  0.0157  0.279
 41  B     0.5839  0.5157  0.221
 42  B     0.5839  0.9843  0.721
 43  B     0.4161  0.4843  0.779
 44  B     0.4854  0.2147  0.3722
 45  B     0.5146  0.7147  0.1278
 46  B     0.5146  0.7853  0.6278
 47  B     0.4854  0.2853  0.8722
 48  O     0.0178  0.4953  0.3698
 49  O     0.9822  0.9953  0.1302
 50  O     0.9822  0.5047  0.6302
 51  O     0.0178  0.0047  0.8698
 52  O     0.3835  0.098   0.3376
 53  O     0.6165  0.598   0.1624
 54  O     0.6165  0.902   0.6624
 55  O     0.3835  0.402   0.8376
 56  O     0.6066  0.2768  0.34581
 57  O     0.3934  0.7768  0.15419
 58  O     0.3934  0.7232  0.65419
 59  O     0.6066  0.2232  0.84581
 60  O     0.4656  0.2701  0.4328
 61  O     0.5344  0.7701  0.0672
 62  O     0.5344  0.7299  0.5672
 63  O     0.4656  0.2299  0.9328
 64  O     0.2992  0.1155  0.6224
 65  O     0.7008  0.6155  0.8776
 66  O     0.7008  0.8845  0.3776
 67  O     0.2992  0.3845  0.1224
 68  O     0.2298  0.4038  0.43434
 69  O     0.7702  0.9038  0.06566
