cif name= ./1528994.cif
./1528994.cif
Full Formula (La16 Zr16 O56)
Reduced Formula: La2Zr2O7
abc   :  10.807600  10.807600  10.807600
angles:  90.000000  90.000000  90.000000
Sites (88)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  La    0.125   0.125   0.125
  1  La    0.125   0.375   0.375
  2  La    0.375   0.875   0.625
  3  La    0.375   0.125   0.375
  4  La    0.125   0.625   0.625
  5  La    0.125   0.875   0.875
  6  La    0.375   0.375   0.125
  7  La    0.375   0.625   0.875
  8  La    0.625   0.125   0.625
  9  La    0.625   0.375   0.875
 10  La    0.875   0.875   0.125
 11  La    0.875   0.125   0.875
 12  La    0.625   0.625   0.125
 13  La    0.625   0.875   0.375
 14  La    0.875   0.375   0.625
 15  La    0.875   0.625   0.375
 16  Zr    0.125   0.125   0.625
 17  Zr    0.125   0.875   0.375
 18  Zr    0.375   0.375   0.625
 19  Zr    0.375   0.125   0.875
 20  Zr    0.125   0.625   0.125
 21  Zr    0.125   0.375   0.875
 22  Zr    0.375   0.875   0.125
 23  Zr    0.375   0.625   0.375
 24  Zr    0.625   0.125   0.125
 25  Zr    0.625   0.875   0.875
 26  Zr    0.875   0.375   0.125
 27  Zr    0.875   0.125   0.375
 28  Zr    0.625   0.625   0.625
 29  Zr    0.625   0.375   0.375
 30  Zr    0.875   0.875   0.625
 31  Zr    0.875   0.625   0.875
 32  O     0.25    0.75    0.25
 33  O     0.5     0.5     0.5
 34  O     0.5439  0.25    0.75
 35  O     0.5     0.7939  0.5
 36  O     0.4561  0.25    0.25
 37  O     0.5     0.2061  0.5
 38  O     0.25    0.0439  0.25
 39  O     0.2061  0       0
 40  O     0.25    0.4561  0.25
 41  O     0.2939  0       0.5
 42  O     0.25    0.25    0.0439
 43  O     0.25    0.25    0.4561
 44  O     0.5     0       0.7061
 45  O     0.5     0       0.2939
 46  O     0.25    0.25    0.75
 47  O     0.5     0       0
 48  O     0.5439  0.75    0.25
 49  O     0.5     0.2939  0
 50  O     0.4561  0.75    0.75
 51  O     0.5     0.7061  0
 52  O     0.25    0.5439  0.75
 53  O     0.2061  0.5     0.5
 54  O     0.25    0.9561  0.75
 55  O     0.2939  0.5     0
 56  O     0.25    0.75    0.5439
 57  O     0.25    0.75    0.9561
 58  O     0.5     0.5     0.2061
 59  O     0.5     0.5     0.7939
 60  O     0.75    0.75    0.75
 61  O     0       0.5     0
 62  O     0.0439  0.25    0.25
 63  O     0       0.7939  0
 64  O     0.9561  0.25    0.75
 65  O     0       0.2061  0
 66  O     0.75    0.0439  0.75
 67  O     0.7061  0       0.5
 68  O     0.75    0.4561  0.75
 69  O     0.7939  0       0
 70  O     0.75    0.25    0.5439
 71  O     0.75    0.25    0.9561
 72  O     0       0       0.2061
 73  O     0       0       0.7939
 74  O     0.75    0.25    0.25
 75  O     0       0       0.5
 76  O     0.0439  0.75    0.75
 77  O     0       0.2939  0.5
 78  O     0.9561  0.75    0.25
 79  O     0       0.7061  0.5
 80  O     0.75    0.5439  0.25
 81  O     0.7061  0.5     0
 82  O     0.75    0.9561  0.25
 83  O     0.7939  0.5     0.5
 84  O     0.75    0.75    0.0439
 85  O     0.75    0.75    0.4561
 86  O     0       0.5     0.7061
 87  O     0       0.5     0.2939

space_group_IT_number 227

*** lse ***


**isite= 0
La1 : [1.35095 1.35095 1.35095]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.22744636 0.         0.        ] : 39
O1 : [0.47445364 2.7019     2.7019    ] : 62
O1 : [2.7019     2.7019     0.47445364] : 42
O1 : [2.7019     0.47445364 2.7019    ] : 38
O1 : [0.         0.         2.22744636] : 72
O1 : [0.         2.22744636 0.        ] : 65


**isite= 1
La1 : [1.35095 4.05285 4.05285]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.         5.4038     3.17635364] : 87
O1 : [0.         3.17635364 5.4038    ] : 77
O1 : [2.22744636 5.4038     5.4038    ] : 53
O1 : [2.7019     4.92934636 2.7019    ] : 40
O1 : [0.47445364 2.7019     2.7019    ] : 62
O1 : [2.7019     2.7019     4.92934636] : 43


**isite= 2
La1 : [4.05285 9.45665 6.75475]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 5.4038     10.8076      7.63124636] : 44
O1 : [5.4038     8.58015364 5.4038    ] : 35
O1 : [ 3.17635364 10.8076      5.4038    ] : 41
O1 : [4.92934636 8.1057     8.1057    ] : 50
O1 : [ 2.7019     10.33314636  8.1057    ] : 54
O1 : [2.7019     8.1057     5.87825364] : 56


**isite= 3
La1 : [4.05285 1.35095 4.05285]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.7019     2.7019     4.92934636] : 43
O1 : [3.17635364 0.         5.4038    ] : 41
O1 : [5.4038     2.22744636 5.4038    ] : 37
O1 : [4.92934636 2.7019     2.7019    ] : 36
O1 : [2.7019     0.47445364 2.7019    ] : 38
O1 : [5.4038     0.         3.17635364] : 45


**isite= 4
La1 : [1.35095 6.75475 6.75475]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.7019     5.87825364 8.1057    ] : 52
O1 : [2.7019     8.1057     5.87825364] : 56
O1 : [0.         7.63124636 5.4038    ] : 79
O1 : [2.22744636 5.4038     5.4038    ] : 53
O1 : [0.         5.4038     7.63124636] : 86
O1 : [0.47445364 8.1057     8.1057    ] : 76


**isite= 5
La1 : [1.35095 9.45665 9.45665]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 2.22744636 10.8076     10.8076    ] : 39
O1 : [0.47445364 8.1057     8.1057    ] : 76
O1 : [ 0.         10.8076      8.58015364] : 73
O1 : [ 2.7019     10.33314636  8.1057    ] : 54
O1 : [ 0.          8.58015364 10.8076    ] : 63
O1 : [ 2.7019      8.1057     10.33314636] : 57


**isite= 6
La1 : [4.05285 4.05285 1.35095]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [4.92934636 2.7019     2.7019    ] : 36
O1 : [2.7019     2.7019     0.47445364] : 42
O1 : [2.7019     4.92934636 2.7019    ] : 40
O1 : [5.4038     3.17635364 0.        ] : 49
O1 : [5.4038     5.4038     2.22744636] : 58
O1 : [3.17635364 5.4038     0.        ] : 55


**isite= 7
La1 : [4.05285 6.75475 9.45665]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 3.17635364  5.4038     10.8076    ] : 55
O1 : [5.4038     5.4038     8.58015364] : 59
O1 : [2.7019     5.87825364 8.1057    ] : 52
O1 : [ 5.4038      7.63124636 10.8076    ] : 51
O1 : [ 2.7019      8.1057     10.33314636] : 57
O1 : [4.92934636 8.1057     8.1057    ] : 50


**isite= 8
La1 : [6.75475 1.35095 6.75475]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [8.1057     0.47445364 8.1057    ] : 66
O1 : [5.4038     2.22744636 5.4038    ] : 37
O1 : [5.4038     0.         7.63124636] : 44
O1 : [7.63124636 0.         5.4038    ] : 67
O1 : [8.1057     2.7019     5.87825364] : 70
O1 : [5.87825364 2.7019     8.1057    ] : 34


**isite= 9
La1 : [6.75475 4.05285 9.45665]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.4038     5.4038     8.58015364] : 59
O1 : [ 8.1057      2.7019     10.33314636] : 71
O1 : [ 5.4038      3.17635364 10.8076    ] : 49
O1 : [ 7.63124636  5.4038     10.8076    ] : 81
O1 : [5.87825364 2.7019     8.1057    ] : 34
O1 : [8.1057     4.92934636 8.1057    ] : 68


**isite= 10
La1 : [9.45665 9.45665 1.35095]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.33314636  8.1057      2.7019    ] : 78
O1 : [8.1057     8.1057     0.47445364] : 84
O1 : [10.8076      8.58015364  0.        ] : 63
O1 : [ 8.1057     10.33314636  2.7019    ] : 82
O1 : [10.8076     10.8076      2.22744636] : 72
O1 : [ 8.58015364 10.8076      0.        ] : 69
!!!atention to nb coordination!!!
         [2.10199373788155, 2.1019937378815485, 2.1019937378815503, 2.10199373788155, 2.101993737881551, 2.1019937378815503]
         [2.10199373788155, 2.1019937378815485, 2.1019937378815503, 2.10199373788155, 2.1019937378815508, 2.1019937378815503]


**isite= 11
La1 : [9.45665 1.35095 9.45665]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 8.1057      2.7019     10.33314636] : 71
