cif name= ./2102936.cif
./2102936.cif
Full Formula (Rb16 Fe16 O32)
Reduced Formula: RbFeO2
abc   :   5.756800  11.513600  16.282700
angles:  90.000000  90.000000  90.000000
Sites (64)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  Rb    0.75227  0.00989  0.06235
  1  Rb    0.74773  0.99011  0.56235
  2  Rb    0.24773  0.50989  0.43765
  3  Rb    0.25227  0.49011  0.93765
  4  Rb    0.24773  0.99011  0.93765
  5  Rb    0.25227  0.00989  0.43765
  6  Rb    0.75227  0.49011  0.56235
  7  Rb    0.74773  0.50989  0.06235
  8  Rb    0.2989   0.2592   0.31403
  9  Rb    0.2011   0.7408   0.81403
 10  Rb    0.7011   0.7592   0.18597
 11  Rb    0.7989   0.2408   0.68597
 12  Rb    0.7011   0.7408   0.68597
 13  Rb    0.7989   0.2592   0.18597
 14  Rb    0.2989   0.2408   0.81403
 15  Rb    0.2011   0.7592   0.31403
 16  Fe    0.25374  0.00565  0.18853
 17  Fe    0.24626  0.99435  0.68853
 18  Fe    0.74626  0.50565  0.31147
 19  Fe    0.75374  0.49435  0.81147
 20  Fe    0.74626  0.99435  0.81147
 21  Fe    0.75374  0.00565  0.31147
 22  Fe    0.25374  0.49435  0.68853
 23  Fe    0.24626  0.50565  0.18853
 24  Fe    0.78355  0.25956  0.43671
 25  Fe    0.71645  0.74044  0.93671
 26  Fe    0.21645  0.75956  0.06329
 27  Fe    0.28355  0.24044  0.56329
 28  Fe    0.21645  0.74044  0.56329
 29  Fe    0.28355  0.25956  0.06329
 30  Fe    0.78355  0.24044  0.93671
 31  Fe    0.71645  0.75956  0.43671
 32  O     0.3035   0.154    0.1481
 33  O     0.1965   0.846    0.6481
 34  O     0.6965   0.654    0.3519
 35  O     0.8035   0.346    0.8519
 36  O     0.6965   0.846    0.8519
 37  O     0.8035   0.154    0.3519
 38  O     0.3035   0.346    0.6481
 39  O     0.1965   0.654    0.1481
 40  O     0.1761   0.1004   0.60649
 41  O     0.3239   0.8996   0.10649
 42  O     0.8239   0.6004   0.89351
 43  O     0.6761   0.3996   0.39351
 44  O     0.8239   0.8996   0.39351
 45  O     0.6761   0.1004   0.89351
 46  O     0.1761   0.3996   0.10649
 47  O     0.3239   0.6004   0.60649
 48  O     0.0764   0.2144   0.9816
 49  O     0.4236   0.7856   0.4816
 50  O     0.9236   0.7144   0.5184
 51  O     0.5764   0.2856   0.0184
 52  O     0.9236   0.7856   0.0184
 53  O     0.5764   0.2144   0.5184
 54  O     0.0764   0.2856   0.4816
 55  O     0.4236   0.7144   0.9816
 56  O     0.9464   0.9829   0.22187
 57  O     0.5536   0.0171   0.72187
 58  O     0.0536   0.4829   0.27813
 59  O     0.4464   0.5171   0.77813
 60  O     0.0536   0.0171   0.77813
 61  O     0.4464   0.9829   0.27813
 62  O     0.9464   0.5171   0.72187
 63  O     0.5536   0.4829   0.22187

space_group_IT_number 61

*** lse ***


**isite= 0
Rb1 : [4.33066794 0.1138695  1.01522634]

ce_symbol  = S:5
