cif name= ./1534542.cif
./1534542.cif
Full Formula (Na36 Fe8 O28)
Reduced Formula: Na9Fe2O7
abc   :   9.561800   9.991000  10.322600
angles:  90.000000  90.000000  90.000000
Sites (72)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  Na    0.276    0.7837   0.3883
  1  Na    0.724    0.2163   0.8883
  2  Na    0.224    0.7837   0.8883
  3  Na    0.776    0.2163   0.3883
  4  Na    0.2118   0.2722   0.5572
  5  Na    0.7882   0.7278   0.0572
  6  Na    0.2882   0.2722   0.0572
  7  Na    0.7118   0.7278   0.5572
  8  Na    0.0656   0.1666   0.253
  9  Na    0.9344   0.8334   0.753
 10  Na    0.4344   0.1666   0.753
 11  Na    0.5656   0.8334   0.253
 12  Na    0.0144   0.6608   0.2388
 13  Na    0.9856   0.3392   0.7388
 14  Na    0.4856   0.6608   0.7388
 15  Na    0.5144   0.3392   0.2388
 16  Na    0.5137   0.7579   0.989
 17  Na    0.4863   0.2421   0.489
 18  Na    0.9863   0.7579   0.489
 19  Na    0.0137   0.2421   0.989
 20  Na    0.9114   0.9862   0.0221
 21  Na    0.0886   0.0138   0.5221
 22  Na    0.5886   0.9862   0.5221
 23  Na    0.4114   0.0138   0.0221
 24  Na    0.3463   0.0622   0.3259
 25  Na    0.6537   0.9378   0.8259
 26  Na    0.1537   0.0622   0.8259
 27  Na    0.8463   0.9378   0.3259
 28  Na    0.3401   0.609    0.1297
 29  Na    0.6599   0.391    0.6297
 30  Na    0.1599   0.609    0.6297
 31  Na    0.8401   0.391    0.1297
 32  Na    0.4229   0.544    0.4703
 33  Na    0.5771   0.456    0.9703
 34  Na    0.0771   0.544    0.9703
 35  Na    0.9229   0.456    0.4703
 36  Fe    0.15918  0.8992   0.14679
 37  Fe    0.84082  0.1008   0.64679
 38  Fe    0.34082  0.8992   0.64679
 39  Fe    0.65918  0.1008   0.14679
 40  Fe    0.18582  0.43178  0.30244
 41  Fe    0.81418  0.56822  0.80244
 42  Fe    0.31418  0.43178  0.80244
