cif name= ./1529026.cif
./1529026.cif
Full Formula (K8 Os16 O48)
Reduced Formula: K(OsO3)2
abc   :  10.086000  10.086000  10.086000
angles:  90.000000  90.000000  90.000000
Sites (72)
  #  SP        a      b      c
---  ----  -----  -----  -----
  0  K     0.5    0      0.5
  1  K     0.25   0.25   0.25
  2  K     0.5    0.5    0
  3  K     0.25   0.75   0.75
  4  K     0      0      0
  5  K     0.75   0.25   0.75
  6  K     0      0.5    0.5
  7  K     0.75   0.75   0.25
  8  Os    0.125  0.125  0.625
  9  Os    0.125  0.875  0.375
 10  Os    0.375  0.375  0.625
 11  Os    0.375  0.125  0.875
 12  Os    0.125  0.625  0.125
 13  Os    0.125  0.375  0.875
 14  Os    0.375  0.875  0.125
 15  Os    0.375  0.625  0.375
 16  Os    0.625  0.125  0.125
 17  Os    0.625  0.875  0.875
 18  Os    0.875  0.375  0.125
 19  Os    0.875  0.125  0.375
 20  Os    0.625  0.625  0.625
 21  Os    0.625  0.375  0.375
 22  Os    0.875  0.875  0.625
 23  Os    0.875  0.625  0.875
 24  O     0.439  0.25   0.75
 25  O     0.5    0.689  0.5
 26  O     0.561  0.25   0.25
 27  O     0.5    0.311  0.5
 28  O     0.25   0.939  0.25
 29  O     0.311  0      0
 30  O     0.25   0.561  0.25
 31  O     0.189  0      0.5
 32  O     0.25   0.25   0.939
 33  O     0.25   0.25   0.561
 34  O     0.5    0      0.811
 35  O     0.5    0      0.189
 36  O     0.439  0.75   0.25
 37  O     0.5    0.189  0
 38  O     0.561  0.75   0.75
 39  O     0.5    0.811  0
 40  O     0.25   0.439  0.75
 41  O     0.311  0.5    0.5
 42  O     0.25   0.061  0.75
 43  O     0.189  0.5    0
 44  O     0.25   0.75   0.439
 45  O     0.25   0.75   0.061
 46  O     0.5    0.5    0.311
 47  O     0.5    0.5    0.689
 48  O     0.939  0.25   0.25
 49  O     0      0.689  0
 50  O     0.061  0.25   0.75
 51  O     0      0.311  0
 52  O     0.75   0.939  0.75
 53  O     0.811  0      0.5
 54  O     0.75   0.561  0.75
 55  O     0.689  0      0
 56  O     0.75   0.25   0.439
 57  O     0.75   0.25   0.061
 58  O     0      0      0.311
 59  O     0      0      0.689
 60  O     0.939  0.75   0.75
 61  O     0      0.189  0.5
