cif name= ./1562439.cif
./1562439.cif
Full Formula (U12 W4 O68)
Reduced Formula: U3WO17
abc   :  12.979000  10.238000  11.302000
angles:  90.000000 102.044000  90.000000
Sites (84)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  U     0.49456  0.87486  0.62637
  1  U     0.49456  0.12514  0.12637
  2  U     0.58215  0.63566  0.88255
  3  U     0.58215  0.36434  0.38255
  4  U     0.33717  0.85691  0.87152
  5  U     0.33717  0.14309  0.37152
  6  U     0.99456  0.37486  0.62637
  7  U     0.99456  0.62514  0.12637
  8  U     0.08215  0.13566  0.88255
  9  U     0.08215  0.86434  0.38255
 10  U     0.83717  0.35691  0.87152
 11  U     0.83717  0.64309  0.37152
 12  W     0.22149  0.08274  0.65747
 13  W     0.22149  0.91726  0.15747
 14  W     0.72149  0.58274  0.65747
 15  W     0.72149  0.41726  0.15747
 16  O     0.3444   0.9751   0.6884
 17  O     0.3444   0.0249   0.1884
 18  O     0.5795   0.9936   0.7136
 19  O     0.5795   0.0064   0.2136
 20  O     0.7493   0.2365   0.791
 21  O     0.7493   0.7635   0.291
 22  O     0.6213   0.703    0.6906
 23  O     0.6213   0.297    0.1906
 24  O     0.4298   0.9716   0.9655
 25  O     0.4298   0.0284   0.4655
 26  O     0.665    0.7628   0.9508
 27  O     0.665    0.2372   0.4508
 28  O     0.4641   0.7822   0.7893
 29  O     0.4641   0.2178   0.2893
 30  O     0.333    0.2345   0.7725
 31  O     0.333    0.7655   0.2725
 32  O     0.4137   0.7593   0.532
 33  O     0.4137   0.2407   0.032
 34  O     0.2593   0.1745   0.5339
 35  O     0.2593   0.8255   0.0339
 36  O     0.2153   0.0174   0.8237
 37  O     0.2153   0.9826   0.3237
 38  O     0.4409   0.6804   0.0001
 39  O     0.4409   0.3196   0.5001
 40  O     0.132    0.9733   0.569
 41  O     0.132    0.0267   0.069
 42  O     0.6178   0.883    0.4814
 43  O     0.6178   0.117    0.9814
 44  O     0.4955   0.5058   0.8189
 45  O     0.4955   0.4942   0.3189
 46  O     0.5275   0.2592   0.725
 47  O     0.5275   0.7408   0.225
 48  O     0.82     0.9912   0.0778
 49  O     0.82     0.0088   0.5778
 50  O     0.8444   0.4751   0.6884
 51  O     0.8444   0.5249   0.1884
 52  O     0.0795   0.4936   0.7136
 53  O     0.0795   0.5064   0.2136
 54  O     0.2493   0.7365   0.791
 55  O     0.2493   0.2635   0.291
 56  O     0.1213   0.203    0.6906
 57  O     0.1213   0.797    0.1906
 58  O     0.9298   0.4716   0.9655
 59  O     0.9298   0.5284   0.4655
 60  O     0.165    0.2628   0.9508
 61  O     0.165    0.7372   0.4508
 62  O     0.9641   0.2822   0.7893
 63  O     0.9641   0.7178   0.2893
 64  O     0.833    0.7345   0.7725
 65  O     0.833    0.2655   0.2725
