cif name= ./2100726.cif
./2100726.cif
Full Formula (Mo32 Pb14 O48)
Reduced Formula: Mo16Pb7O24
abc   :   9.615000   9.615000  11.362000
angles:  90.000000  90.000000  90.000000
Sites (94)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  Mo    0.3565  0.1435  0.25
  1  Mo    0.8565  0.3565  0.25
  2  Mo    0.6435  0.8565  0.25
  3  Mo    0.1435  0.6435  0.25
  4  Mo    0.6435  0.8565  0.75
  5  Mo    0.1435  0.6435  0.75
  6  Mo    0.3565  0.1435  0.75
  7  Mo    0.8565  0.3565  0.75
  8  Mo    0.3566  0.1445  0
  9  Mo    0.8555  0.3566  0
 10  Mo    0.6434  0.8555  0
 11  Mo    0.1445  0.6434  0
 12  Mo    0.8566  0.3555  0.5
 13  Mo    0.6445  0.8566  0.5
 14  Mo    0.1434  0.6445  0.5
 15  Mo    0.3555  0.1434  0.5
 16  Mo    0.6023  0.1015  0.125
 17  Mo    0.8985  0.6023  0.125
 18  Mo    0.3977  0.8985  0.125
 19  Mo    0.1015  0.3977  0.125
 20  Mo    0.1023  0.3985  0.375
 21  Mo    0.6015  0.1023  0.375
 22  Mo    0.8977  0.6015  0.375
 23  Mo    0.3985  0.8977  0.375
 24  Mo    0.3977  0.8985  0.875
 25  Mo    0.1015  0.3977  0.875
 26  Mo    0.6023  0.1015  0.875
 27  Mo    0.8985  0.6023  0.875
 28  Mo    0.8977  0.6015  0.625
 29  Mo    0.3985  0.8977  0.625
 30  Mo    0.1023  0.3985  0.625
 31  Mo    0.6015  0.1023  0.625
 32  Pb    0       0       0.3009
 33  Pb    0.5     0.5     0.1991
 34  Pb    0       0       0.6991
 35  Pb    0.5     0.5     0.8009
 36  Pb    0       0       0
 37  Pb    0.5     0.5     0.5
 38  Pb    0       0       0.4457
 39  Pb    0.5     0.5     0.0543
 40  Pb    0       0       0.5543
 41  Pb    0.5     0.5     0.9457
 42  Pb    0       0       0.2474
 43  Pb    0.5     0.5     0.2526
 44  Pb    0       0       0.7526
