cif name= ./1536906.cif
./1536906.cif
Full Formula (Nd4 Cr4 O12)
Reduced Formula: NdCrO3
abc   :   5.481000   7.685000   5.382000
angles:  90.000000  90.000000  90.000000
Sites (20)
  #  SP         a      b       c
---  ----  ------  -----  ------
  0  Nd    0.0457  0.25   0.9901
  1  Nd    0.4543  0.75   0.4901
  2  Nd    0.5457  0.25   0.5099
  3  Nd    0.9543  0.75   0.0099
  4  Cr    0.5     0      0
  5  Cr    0       0      0.5
  6  Cr    0       0.5    0.5
  7  Cr    0.5     0.5    0
  8  O     0.4809  0.25   0.0821
  9  O     0.0191  0.75   0.5821
 10  O     0.9809  0.25   0.4179
 11  O     0.5191  0.75   0.9179
 12  O     0.2893  0.047  0.7079
 13  O     0.2107  0.953  0.2079
 14  O     0.7893  0.453  0.7921
 15  O     0.7107  0.547  0.2921
 16  O     0.7107  0.953  0.2921
 17  O     0.7893  0.047  0.7921
 18  O     0.2107  0.547  0.2079
 19  O     0.2893  0.453  0.7079

space_group_IT_number 62

*** lse ***


**isite= 0
Nd1 : [0.2504817 1.92125   5.3287182]

ce_symbol  = SBT:8
ce_fraction=  0.546659356891385
species:coords:index
O1 : [2.6358129 1.92125   5.8238622] : 8
O1 : [1.5856533 0.361195  3.8099178] : 12
O1 : [-0.1046871  1.92125    7.6311378] : 10
O1 : [ 1.1548467 -0.361195   6.5009178] : 13
O1 : [-1.1548467  3.481305   4.2630822] : 14
O1 : [-1.1548467  0.361195   4.2630822] : 17
O1 : [1.1548467 4.203695  6.5009178] : 18
O1 : [1.5856533 3.481305  3.8099178] : 19
!!!atention to nb coordination!!!
         [2.436179901901631, 2.5540574503154234, 2.329652525798128, 2.7205666934464516, 2.354633644405762, 2.3546336444057623, 2.7205666934464503, 2.554057450315423]
         [2.436179901901631, 2.5540574503154234, 2.329652525798128, 2.720566693446451, 2.354633644405762, 2.354633644405762, 2.720566693446451, 2.5540574503154234]

ce_symbol  = SA:8
ce_fraction=  0.31999607245297784
species:coords:index
O1 : [2.6358129 1.92125   5.8238622] : 8
O1 : [1.5856533 0.361195  3.8099178] : 12
O1 : [-0.1046871  1.92125    7.6311378] : 10
O1 : [ 1.1548467 -0.361195   6.5009178] : 13
O1 : [-1.1548467  3.481305   4.2630822] : 14
O1 : [-1.1548467  0.361195   4.2630822] : 17
O1 : [1.1548467 4.203695  6.5009178] : 18
O1 : [1.5856533 3.481305  3.8099178] : 19
!!!atention to nb coordination!!!
         [2.436179901901631, 2.5540574503154234, 2.329652525798128, 2.7205666934464516, 2.354633644405762, 2.3546336444057623, 2.7205666934464503, 2.554057450315423]
         [2.436179901901631, 2.5540574503154234, 2.329652525798128, 2.720566693446451, 2.354633644405762, 2.354633644405762, 2.720566693446451, 2.5540574503154234]

ce_symbol  = DDPN:8
ce_fraction=  0.08812994578834464
species:coords:index
O1 : [2.6358129 1.92125   5.8238622] : 8
O1 : [1.5856533 0.361195  3.8099178] : 12
O1 : [-0.1046871  1.92125    7.6311378] : 10
O1 : [ 1.1548467 -0.361195   6.5009178] : 13
O1 : [-1.1548467  3.481305   4.2630822] : 14
O1 : [-1.1548467  0.361195   4.2630822] : 17
O1 : [1.1548467 4.203695  6.5009178] : 18
O1 : [1.5856533 3.481305  3.8099178] : 19
!!!atention to nb coordination!!!
         [2.436179901901631, 2.5540574503154234, 2.329652525798128, 2.7205666934464516, 2.354633644405762, 2.3546336444057623, 2.7205666934464503, 2.554057450315423]
         [2.436179901901631, 2.5540574503154234, 2.329652525798128, 2.720566693446451, 2.354633644405762, 2.354633644405762, 2.720566693446451, 2.5540574503154234]

ce_symbol  = DD:8
ce_fraction=  0.04387569583012087
species:coords:index
O1 : [2.6358129 1.92125   5.8238622] : 8
O1 : [1.5856533 0.361195  3.8099178] : 12
O1 : [-0.1046871  1.92125    7.6311378] : 10
O1 : [ 1.1548467 -0.361195   6.5009178] : 13
O1 : [-1.1548467  3.481305   4.2630822] : 14
O1 : [-1.1548467  0.361195   4.2630822] : 17
O1 : [1.1548467 4.203695  6.5009178] : 18
O1 : [1.5856533 3.481305  3.8099178] : 19
!!!atention to nb coordination!!!
         [2.436179901901631, 2.5540574503154234, 2.329652525798128, 2.7205666934464516, 2.354633644405762, 2.3546336444057623, 2.7205666934464503, 2.554057450315423]
         [2.436179901901631, 2.5540574503154234, 2.329652525798128, 2.720566693446451, 2.354633644405762, 2.354633644405762, 2.720566693446451, 2.5540574503154234]

ce_symbol  = BO_3:8
ce_fraction=  0.0013389290371716254
species:coords:index
O1 : [2.6358129 1.92125   5.8238622] : 8
O1 : [1.5856533 0.361195  3.8099178] : 12
O1 : [-0.1046871  1.92125    7.6311378] : 10
O1 : [ 1.1548467 -0.361195   6.5009178] : 13
O1 : [-1.1548467  3.481305   4.2630822] : 14
O1 : [-1.1548467  0.361195   4.2630822] : 17
O1 : [1.1548467 4.203695  6.5009178] : 18
O1 : [1.5856533 3.481305  3.8099178] : 19
!!!atention to nb coordination!!!
         [2.436179901901631, 2.5540574503154234, 2.329652525798128, 2.7205666934464516, 2.354633644405762, 2.3546336444057623, 2.7205666934464503, 2.554057450315423]
         [2.436179901901631, 2.5540574503154234, 2.329652525798128, 2.720566693446451, 2.354633644405762, 2.354633644405762, 2.720566693446451, 2.5540574503154234]


**isite= 1
Nd1 : [2.4900183 5.76375   2.6377182]

ce_symbol  = SBT:8
ce_fraction=  0.5466593568913856
species:coords:index
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [1.5856533 3.481305  3.8099178] : 19
O1 : [1.1548467 4.203695  1.1189178] : 18
O1 : [2.8451871 5.76375   4.9401378] : 11
O1 : [3.8953467 7.323805  1.5720822] : 16
O1 : [0.1046871 5.76375   3.1328622] : 9
O1 : [1.1548467 7.323805  1.1189178] : 13
O1 : [1.5856533 8.046195  3.8099178] : 12
!!!atention to nb coordination!!!
         [2.3546336444057627, 2.720566693446452, 2.5540574503154243, 2.3296525257981284, 2.354633644405761, 2.436179901901631, 2.5540574503154225, 2.720566693446451]
         [2.3546336444057623, 2.7205666934464516, 2.554057450315424, 2.3296525257981284, 2.354633644405762, 2.436179901901631, 2.5540574503154234, 2.720566693446451]

ce_symbol  = SA:8
ce_fraction=  0.3199960724529775
species:coords:index
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [1.5856533 3.481305  3.8099178] : 19
O1 : [1.1548467 4.203695  1.1189178] : 18
O1 : [2.8451871 5.76375   4.9401378] : 11
O1 : [3.8953467 7.323805  1.5720822] : 16
O1 : [0.1046871 5.76375   3.1328622] : 9
O1 : [1.1548467 7.323805  1.1189178] : 13
O1 : [1.5856533 8.046195  3.8099178] : 12
