cif name= ./1510797.cif
./1510797.cif
Full Formula (Sr12 B24 O48)
Reduced Formula: Sr(BO2)2
abc   :   9.212300   9.212300   9.212300
angles:  90.000000  90.000000  90.000000
Sites (84)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  Sr    0        0        0
  1  Sr    0.5      0        0.5
  2  Sr    0.5      0.5      0
  3  Sr    0        0.5      0.5
  4  Sr    0.37098  0.37098  0.37098
  5  Sr    0.12902  0.62902  0.87098
  6  Sr    0.87098  0.12902  0.62902
  7  Sr    0.62902  0.87098  0.12902
  8  Sr    0.62902  0.62902  0.62902
  9  Sr    0.87098  0.37098  0.12902
 10  Sr    0.12902  0.87098  0.37098
 11  Sr    0.37098  0.12902  0.87098
 12  B     0.1143   0.1898   0.3387
 13  B     0.3857   0.8102   0.8387
 14  B     0.6143   0.3102   0.6613
 15  B     0.8857   0.6898   0.1613
 16  B     0.3387   0.1143   0.1898
 17  B     0.1613   0.8857   0.6898
 18  B     0.8387   0.3857   0.8102
 19  B     0.6613   0.6143   0.3102
 20  B     0.1898   0.3387   0.1143
 21  B     0.6898   0.1613   0.8857
 22  B     0.8102   0.8387   0.3857
 23  B     0.3102   0.6613   0.6143
 24  B     0.8857   0.8102   0.6613
 25  B     0.6143   0.1898   0.1613
 26  B     0.3857   0.6898   0.3387
 27  B     0.1143   0.3102   0.8387
 28  B     0.6613   0.8857   0.8102
 29  B     0.8387   0.1143   0.3102
 30  B     0.1613   0.6143   0.1898
 31  B     0.3387   0.3857   0.6898
 32  B     0.8102   0.6613   0.8857
 33  B     0.3102   0.8387   0.1143
 34  B     0.1898   0.1613   0.6143
 35  B     0.6898   0.3387   0.3857
 36  O     0.0931   0.2817   0.9978
 37  O     0.4069   0.7183   0.4978
 38  O     0.5931   0.2183   0.0022
 39  O     0.9069   0.7817   0.5022
 40  O     0.9978   0.0931   0.2817
 41  O     0.5022   0.9069   0.7817
 42  O     0.4978   0.4069   0.7183
 43  O     0.0022   0.5931   0.2183
 44  O     0.2817   0.9978   0.0931
 45  O     0.7817   0.5022   0.9069
 46  O     0.7183   0.4978   0.4069
 47  O     0.2183   0.0022   0.5931
 48  O     0.9069   0.7183   0.0022
 49  O     0.5931   0.2817   0.5022
 50  O     0.4069   0.7817   0.9978
 51  O     0.0931   0.2183   0.4978
 52  O     0.0022   0.9069   0.7183
 53  O     0.4978   0.0931   0.2183
 54  O     0.5022   0.5931   0.2817
 55  O     0.9978   0.4069   0.7817
 56  O     0.7183   0.0022   0.9069
 57  O     0.2183   0.4978   0.0931
 58  O     0.2817   0.5022   0.5931
 59  O     0.7817   0.9978   0.4069
 60  O     0.3257   0.2602   0.1151
 61  O     0.1743   0.7398   0.6151
 62  O     0.8257   0.2398   0.8849
 63  O     0.6743   0.7602   0.3849
 64  O     0.1151   0.3257   0.2602
 65  O     0.3849   0.6743   0.7602
 66  O     0.6151   0.1743   0.7398
 67  O     0.8849   0.8257   0.2398
 68  O     0.2602   0.1151   0.3257
 69  O     0.7602   0.3849   0.6743
 70  O     0.7398   0.6151   0.1743
 71  O     0.2398   0.8849   0.8257
 72  O     0.6743   0.7398   0.8849
 73  O     0.8257   0.2602   0.3849
 74  O     0.1743   0.7602   0.1151
 75  O     0.3257   0.2398   0.6151
 76  O     0.8849   0.6743   0.7398
