cif name= ./4338443.cif
./4338443.cif
Full Formula (Li24 B16 O36)
Reduced Formula: Li6B4O9
abc   :   3.319130  23.361000   9.595751
angles:  90.000000 107.563903  90.000000
Sites (76)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  Li    0.6289   0.38131  0.3198
  1  Li    0.3711   0.88131  0.1802
  2  Li    0.3711   0.61869  0.6802
  3  Li    0.6289   0.11869  0.8198
  4  Li    0.1393   0.55745  0.9588
  5  Li    0.8607   0.05745  0.5412
  6  Li    0.8607   0.44255  0.0412
  7  Li    0.1393   0.94255  0.4588
  8  Li    0.7499   0.542    0.5094
  9  Li    0.2501   0.042    0.9906
 10  Li    0.2501   0.458    0.4906
 11  Li    0.7499   0.958    0.0094
 12  Li    0.343    0.35656  0.0217
 13  Li    0.657    0.85656  0.4783
 14  Li    0.657    0.64344  0.9783
 15  Li    0.343    0.14344  0.5217
 16  Li    0.6827   0.29598  0.8502
 17  Li    0.3173   0.79598  0.6498
 18  Li    0.3173   0.70402  0.1498
 19  Li    0.6827   0.20402  0.3502
 20  Li    0.1199   0.2941   0.3035
 21  Li    0.8801   0.7941   0.1965
 22  Li    0.8801   0.7059   0.6965
 23  Li    0.1199   0.2059   0.8035
 24  B     0.5039   0.52297  0.7622
 25  B     0.4961   0.02297  0.7378
 26  B     0.4961   0.47703  0.2378
 27  B     0.5039   0.97703  0.2622
 28  B     0.6229   0.41365  0.7971
 29  B     0.3771   0.91365  0.7029
 30  B     0.3771   0.58635  0.2029
 31  B     0.6229   0.08635  0.2971
 32  B     0.3683   0.35202  0.5639
 33  B     0.6317   0.85202  0.9361
 34  B     0.6317   0.64798  0.4361
 35  B     0.3683   0.14798  0.0639
 36  B     0.4095   0.2432   0.5827
 37  B     0.5905   0.7432   0.9173
 38  B     0.5905   0.7568   0.4173
 39  B     0.4095   0.2568   0.0827
 40  O     0.34119  0.52599  0.61759
 41  O     0.65881  0.02599  0.88241
 42  O     0.65881  0.47401  0.38241
 43  O     0.34119  0.97401  0.11759
 44  O     0.54388  0.56856  0.85378
 45  O     0.45612  0.06856  0.64622
 46  O     0.45612  0.43144  0.14622
 47  O     0.54388  0.93144  0.35378
 48  O     0.67453  0.4713   0.83693
 49  O     0.32547  0.9713   0.66307
 50  O     0.32547  0.5287   0.16307
 51  O     0.67453  0.0287   0.33693
 52  O     0.74257  0.37567  0.90447
 53  O     0.25743  0.87567  0.59553
 54  O     0.25743  0.62433  0.09553
 55  O     0.74257  0.12433  0.40447
 56  O     0.44712  0.40193  0.65042
 57  O     0.55288  0.90193  0.84958
 58  O     0.55288  0.59807  0.34958
 59  O     0.44712  0.09807  0.15042
