cif name= ./2103776.cif
./2103776.cif
Full Formula (Li4 V36 O78)
Reduced Formula: Li2V18O39
abc   :  21.848000   3.690400  17.245000
angles:  90.000000 105.010000  90.000000
Sites (118)
  #  SP          a    b        c
---  ----  -------  ---  -------
  0  Li    0.7379   0    0.3396
  1  Li    0.7621   0.5  0.6604
  2  Li    0.2379   0.5  0.3396
  3  Li    0.2621   0    0.6604
  4  V     0.62135  0.5  0.23855
  5  V     0.87865  0    0.76145
  6  V     0.94842  0.5  0.90076
  7  V     0.55158  0    0.09924
  8  V     0.79923  0    0.54822
  9  V     0.70077  0.5  0.45178
 10  V     0.75918  0.5  0.15174
 11  V     0.74082  0    0.84826
 12  V     0.58889  0    0.82454
 13  V     0.91111  0.5  0.17546
 14  V     0.94004  0    0.47324
 15  V     0.55996  0.5  0.52676
 16  V     0.86205  0.5  0.34553
 17  V     0.63795  0    0.65447
 18  V     0.69178  0    0.02124
 19  V     0.80822  0.5  0.97876
 20  V     0.52271  0.5  0.69348
 21  V     0.97729  0    0.30652
 22  V     0.12135  0    0.23855
 23  V     0.37865  0.5  0.76145
 24  V     0.44842  0    0.90076
 25  V     0.05158  0.5  0.09924
 26  V     0.29923  0.5  0.54822
 27  V     0.20077  0    0.45178
 28  V     0.25918  0    0.15174
 29  V     0.24082  0.5  0.84826
 30  V     0.08889  0.5  0.82454
 31  V     0.41111  0    0.17546
 32  V     0.44004  0.5  0.47324
 33  V     0.05996  0    0.52676
 34  V     0.36205  0    0.34553
 35  V     0.13795  0.5  0.65447
 36  V     0.19178  0.5  0.02124
 37  V     0.30822  0    0.97876
 38  V     0.02271  0    0.69348
 39  V     0.47729  0.5  0.30652
 40  O     0.8894   0.5  0.7855
 41  O     0.6106   0    0.2145
 42  O     0.5625   0.5  0.1202
 43  O     0.9375   0    0.8798
 44  O     0.7298   0    0.4499
 45  O     0.7702   0.5  0.5501
 46  O     0.9251   0.5  0.4574
 47  O     0.5749   0    0.5426
 48  O     0.5865   0.5  0.7966
 49  O     0.9135   0    0.2034
 50  O     0.7577   0    0.1254
 51  O     0.7423   0.5  0.8746
 52  O     0.5485   0    0.7002
 53  O     0.9515   0.5  0.2998
 54  O     0.7182   0.5  0.0309
 55  O     0.7818   0    0.9691
 56  O     0.8861   0    0.3553
 57  O     0.6139   0.5  0.6447
 58  O     0        0.5  0
 59  O     0.82961  0    0.6653
 60  O     0.67039  0.5  0.3347
 61  O     0.5258   0    0.86056
 62  O     0.9742   0.5  0.13944
 63  O     0.70042  0.5  0.197
 64  O     0.79958  0    0.803
 65  O     0.86374  0    0.518
 66  O     0.63626  0.5  0.482
 67  O     0.62703  0    0.0531
 68  O     0.87297  0.5  0.9469
 69  O     0.79444  0.5  0.3696
 70  O     0.70556  0    0.6304
 71  O     0.95526  0    0.71941
 72  O     0.54474  0.5  0.28059
 73  O     0.6539   0    0.9092
 74  O     0.8461   0.5  0.0908
 75  O     0.828    0.5  0.2331
 76  O     0.672    0    0.7669
 77  O     0.5085   0.5  0.4234
 78  O     0.9915   0    0.5766
