cif name= ./1008055.cif
./1008055.cif
Full Formula (Rb8 Eu24 F80)
Reduced Formula: RbEu3F10
abc   :  11.844000  11.844000  11.844000
angles:  90.000000  90.000000  90.000000
Sites (112)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  Rb+   0.25    0.75    0.75
  1  Rb+   0.25    0.25    0.75
  2  Rb+   0.25    0.25    0.25
  3  Rb+   0.25    0.75    0.25
  4  Rb+   0.75    0.75    0.25
  5  Rb+   0.75    0.25    0.25
  6  Rb+   0.75    0.25    0.75
  7  Rb+   0.75    0.75    0.75
  8  Eu3+  0.2398  0       0
  9  Eu3+  0       0       0.2398
 10  Eu3+  0       0.7398  0.5
 11  Eu3+  0       0       0.7602
 12  Eu3+  0       0.2602  0.5
 13  Eu3+  0.2602  0       0.5
 14  Eu3+  0.2398  0.5     0.5
 15  Eu3+  0       0.5     0.7398
 16  Eu3+  0       0.2398  0
 17  Eu3+  0       0.5     0.2602
 18  Eu3+  0       0.7602  0
 19  Eu3+  0.2602  0.5     0
 20  Eu3+  0.7398  0       0.5
 21  Eu3+  0.5     0       0.7398
 22  Eu3+  0.5     0.7398  0
 23  Eu3+  0.5     0       0.2602
 24  Eu3+  0.5     0.2602  0
 25  Eu3+  0.7602  0       0
 26  Eu3+  0.7398  0.5     0
 27  Eu3+  0.5     0.5     0.2398
 28  Eu3+  0.5     0.2398  0.5
 29  Eu3+  0.5     0.5     0.7602
 30  Eu3+  0.5     0.7602  0.5
 31  Eu3+  0.7602  0.5     0.5
 32  F-    0.1107  0.6107  0.6107
 33  F-    0.1107  0.8893  0.8893
 34  F-    0.3893  0.6107  0.8893
 35  F-    0.3893  0.8893  0.6107
 36  F-    0.3893  0.3893  0.8893
 37  F-    0.3893  0.1107  0.6107
 38  F-    0.1107  0.3893  0.6107
 39  F-    0.1107  0.1107  0.8893
 40  F-    0       0.1654  0.6654
 41  F-    0.1654  0.1654  0.5
 42  F-    0.1654  0       0.6654
 43  F-    0       0.8346  0.3346
 44  F-    0.1654  0.8346  0.5
 45  F-    0.1654  0       0.3346
 46  F-    0       0.1654  0.3346
 47  F-    0.3346  0.1654  0
 48  F-    0.3346  0       0.8346
 49  F-    0       0.8346  0.6654
 50  F-    0.3346  0.8346  0
 51  F-    0.3346  0       0.1654
 52  F-    0.1107  0.1107  0.1107
 53  F-    0.1107  0.3893  0.3893
 54  F-    0.3893  0.1107  0.3893
 55  F-    0.3893  0.3893  0.1107
 56  F-    0.3893  0.8893  0.3893
 57  F-    0.3893  0.6107  0.1107
 58  F-    0.1107  0.8893  0.1107
 59  F-    0.1107  0.6107  0.3893
 60  F-    0       0.6654  0.1654
 61  F-    0.1654  0.6654  0
 62  F-    0.1654  0.5     0.1654
 63  F-    0       0.3346  0.8346
 64  F-    0.1654  0.3346  0
 65  F-    0.1654  0.5     0.8346
 66  F-    0       0.6654  0.8346
 67  F-    0.3346  0.6654  0.5
 68  F-    0.3346  0.5     0.3346
 69  F-    0       0.3346  0.1654
 70  F-    0.3346  0.3346  0.5
 71  F-    0.3346  0.5     0.6654
 72  F-    0.6107  0.6107  0.1107
 73  F-    0.6107  0.8893  0.3893
 74  F-    0.8893  0.6107  0.3893
 75  F-    0.8893  0.8893  0.1107
 76  F-    0.8893  0.3893  0.3893
 77  F-    0.8893  0.1107  0.1107
 78  F-    0.6107  0.3893  0.1107
 79  F-    0.6107  0.1107  0.3893
 80  F-    0.5     0.1654  0.1654
 81  F-    0.6654  0.1654  0
 82  F-    0.6654  0       0.1654
 83  F-    0.5     0.8346  0.8346
 84  F-    0.6654  0.8346  0
 85  F-    0.6654  0       0.8346
 86  F-    0.5     0.1654  0.8346
 87  F-    0.8346  0.1654  0.5
 88  F-    0.8346  0       0.3346
