cif name= ./4306125.cif
./4306125.cif
Full Formula (Ga12 Pb20 F76)
Reduced Formula: Ga3Pb5F19
abc   :  14.337200  14.337200   7.434600
angles:  90.000000  90.000000  90.000000
Sites (108)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  Ga3+  0.163   0.337   0.5225
  1  Ga3+  0.837   0.663   0.5225
  2  Ga3+  0.837   0.337   0.0225
  3  Ga3+  0.163   0.663   0.0225
  4  Ga3+  0       0       0.3289
  5  Ga3+  0       0       0.8289
  6  Ga3+  0.663   0.837   0.0225
  7  Ga3+  0.337   0.163   0.0225
  8  Ga3+  0.337   0.837   0.5225
  9  Ga3+  0.663   0.163   0.5225
 10  Ga3+  0.5     0.5     0.8289
 11  Ga3+  0.5     0.5     0.3289
 12  Pb2+  0.9284  0.7719  0
 13  Pb2+  0.0716  0.2281  0
 14  Pb2+  0.0716  0.7719  0.5
 15  Pb2+  0.9284  0.2281  0.5
 16  Pb2+  0.7281  0.4284  0.5
 17  Pb2+  0.2719  0.5716  0.5
 18  Pb2+  0.7281  0.5716  0
 19  Pb2+  0.2719  0.4284  0
 20  Pb2+  0       0.5     0.356
 21  Pb2+  0       0.5     0.856
 22  Pb2+  0.4284  0.2719  0.5
 23  Pb2+  0.5716  0.7281  0.5
 24  Pb2+  0.5716  0.2719  0
 25  Pb2+  0.4284  0.7281  0
 26  Pb2+  0.2281  0.9284  0
 27  Pb2+  0.7719  0.0716  0
 28  Pb2+  0.2281  0.0716  0.5
 29  Pb2+  0.7719  0.9284  0.5
 30  Pb2+  0.5     0       0.856
 31  Pb2+  0.5     0       0.356
 32  F-    0.1069  0.2472  0.6789
 33  F-    0.8931  0.7528  0.6789
 34  F-    0.8931  0.2472  0.1789
 35  F-    0.1069  0.7528  0.1789
 36  F-    0.2528  0.6069  0.1789
 37  F-    0.7472  0.3931  0.1789
 38  F-    0.2528  0.3931  0.6789
 39  F-    0.7472  0.6069  0.6789
 40  F-    0.1988  0.43    0.3487
 41  F-    0.8012  0.57    0.3487
 42  F-    0.8012  0.43    0.8487
 43  F-    0.1988  0.57    0.8487
 44  F-    0.07    0.6988  0.8487
