cif name= ./1008834.cif
./1008834.cif
Full Formula (K8 Er16 F56)
Reduced Formula: KEr2F7
abc   :  11.820000  13.333000   7.816000
angles:  90.000000  90.000000  90.000000
Sites (80)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  K+    0.08394  0.09501  0.99917
  1  K+    0.91606  0.90499  0.49917
  2  K+    0.41606  0.59501  0.49917
  3  K+    0.58394  0.40499  0.99917
  4  K+    0.43428  0.0687   0.97975
  5  K+    0.56572  0.9313   0.47975
  6  K+    0.06572  0.5687   0.47975
  7  K+    0.93428  0.4313   0.97975
  8  Er3+  0.99424  0.74205  0.00771
  9  Er3+  0.00576  0.25795  0.50771
 10  Er3+  0.50576  0.24205  0.50771
 11  Er3+  0.49424  0.75795  0.00771
 12  Er3+  0.25564  0.33715  0.78143
 13  Er3+  0.74436  0.66285  0.28143
 14  Er3+  0.24436  0.83715  0.28143
 15  Er3+  0.75564  0.16285  0.78143
 16  Er3+  0.24307  0.83579  0.73383
 17  Er3+  0.75693  0.16421  0.23383
 18  Er3+  0.25693  0.33579  0.23383
 19  Er3+  0.74307  0.66421  0.73383
 20  Er3+  0.20963  0.06215  0.50825
 21  Er3+  0.79037  0.93785  0.00825
 22  Er3+  0.29037  0.56215  0.00825
 23  Er3+  0.70963  0.43785  0.50825
 24  F-    0.1616   0.4204   0.0076
 25  F-    0.8384   0.5796   0.5076
 26  F-    0.3384   0.9204   0.5076
 27  F-    0.6616   0.0796   0.0076
 28  F-    0.1744   0.2021   0.6619
 29  F-    0.8256   0.7979   0.1619
 30  F-    0.3256   0.7021   0.1619
 31  F-    0.6744   0.2979   0.6619
 32  F-    0.2831   0.5016   0.2721
 33  F-    0.7169   0.4984   0.7721
 34  F-    0.2169   0.0016   0.7721
 35  F-    0.7831   0.9984   0.2721
 36  F-    0.2204   0.0028   0.2421
 37  F-    0.7796   0.9972   0.7421
 38  F-    0.2796   0.5028   0.7421
 39  F-    0.7204   0.4972   0.2421
 40  F-    0.2431   0.2338   0.0096
 41  F-    0.7569   0.7662   0.5096
 42  F-    0.2569   0.7338   0.5096
 43  F-    0.7431   0.2662   0.0096
 44  F-    0.3647   0.4044   0.0026
 45  F-    0.6353   0.5956   0.5026
 46  F-    0.1353   0.9044   0.5026
 47  F-    0.8647   0.0956   0.0026
 48  F-    0.3124   0.3374   0.5132
 49  F-    0.6876   0.6626   0.0132
 50  F-    0.1876   0.8374   0.0132
 51  F-    0.8124   0.1626   0.5132
 52  F-    0.4289   0.2679   0.7656
 53  F-    0.5711   0.7321   0.2656
 54  F-    0.0711   0.7679   0.2656
