cif name= ./4331414.cif
./4331414.cif
Full Formula (Au4 Xe8 F68)
Reduced Formula: AuXe2F17
abc   :   9.115000   8.542000  15.726000
angles:  90.000000  90.000000  90.000000
Sites (80)
  #  SP          a       b        c
---  ----  -------  ------  -------
  0  Au    0.65834  0.25    0.52267
  1  Au    0.84166  0.75    0.02267
  2  Au    0.15834  0.25    0.97733
  3  Au    0.34166  0.75    0.47733
  4  Xe    0.7013   0.25    0.88245
  5  Xe    0.7987   0.75    0.38245
  6  Xe    0.2013   0.25    0.61755
  7  Xe    0.2987   0.75    0.11755
  8  Xe    0.79072  0.25    0.16069
  9  Xe    0.70928  0.75    0.66069
 10  Xe    0.29072  0.25    0.33931
 11  Xe    0.20928  0.75    0.83931
 12  F     0.9114   0.0949  0.2046
 13  F     0.5886   0.9051  0.7046
 14  F     0.4114   0.4051  0.2954
 15  F     0.0886   0.5949  0.7954
 16  F     0.0886   0.9051  0.7954
 17  F     0.4114   0.0949  0.2954
 18  F     0.5886   0.5949  0.7046
 19  F     0.9114   0.4051  0.2046
 20  F     0.4857   0.25    0.5857
 21  F     0.0143   0.75    0.0857
 22  F     0.9857   0.25    0.9143
 23  F     0.5143   0.75    0.4143
 24  F     0.577    0.25    0.7933
 25  F     0.923    0.75    0.2933
 26  F     0.077    0.25    0.7067
 27  F     0.423    0.75    0.2067
 28  F     0.5707   0.1013  0.916
 29  F     0.9293   0.8987  0.416
 30  F     0.0707   0.3987  0.584
 31  F     0.4293   0.6013  0.084
 32  F     0.4293   0.8987  0.084
 33  F     0.0707   0.1013  0.584
 34  F     0.9293   0.6013  0.416
 35  F     0.5707   0.3987  0.916
 36  F     0.541    0.25    0.4229
 37  F     0.959    0.75    0.9229
 38  F     0.041    0.25    0.0771
 39  F     0.459    0.75    0.5771
 40  F     0.6587   0.033   0.5236
 41  F     0.8413   0.967   0.0236
 42  F     0.1587   0.467   0.9764
 43  F     0.3413   0.533   0.4764
 44  F     0.3413   0.967   0.4764
 45  F     0.1587   0.033   0.9764
 46  F     0.8413   0.533   0.0236
 47  F     0.6587   0.467   0.5236
 48  F     0.77     0.25    0.6212
 49  F     0.73     0.75    0.1212
 50  F     0.27     0.25    0.8788
 51  F     0.23     0.75    0.3788
 52  F     0.7914   0.096   0.8168
 53  F     0.7086   0.904   0.3168
 54  F     0.2914   0.404   0.6832
 55  F     0.2086   0.596   0.1832
 56  F     0.2086   0.904   0.1832
 57  F     0.2914   0.096   0.6832
 58  F     0.7086   0.596   0.3168
 59  F     0.7914   0.404   0.8168
 60  F     0.6448   0.1026  0.1578
 61  F     0.8552   0.8974  0.6578
