file	formula	svnrevision
1000043	- Ca F2 -	202022
1000073	- F7 Li3 Th -	176729
1000074	- F7 Li3 Th -	176729
1000076	- Al5 F26 Na3 Sr4 -	176729
1000082	- Al6 F21 Na Rb2 -	130149
1000085	- Cr5 F17 Rb2 -	130149
1000088	- F6 Li2 Tb -	130149
1000089	- F6 Li2 Tb -	130149
1000090	- F5 Fe K2 -	130149
1000091	- Ca2.028 F7 Lu0.972 -	176435
1000092	- Cr10 F31 K5 -	130149
1000098	- Al F6 Na Sr -	130149
1000103	- Al2 Ca F9 K -	130149
1000104	- Al Ba3 F9 -	130149
1000105	- F24 Fe2 Mn Pb8 -	130149
1000106	- Al Cs F4 -	130149
1000107	- Al Cs F4 -	130149
1000110	- Al F3 -	176729
1000122	- Ba F5 Fe -	200144
1000125	- Al F4 K -	130149
1000126	- Al F4 K -	130149
1000127	- Al F4 K -	130149
1000129	- Al Ba F5 -	189449
1000130	- Al Ba F5 -	189449
1000131	- Al Ba F5 -	189449
1000135	- F22 Sr5 Zr3 -	130149
1000144	- F9 Fe2 Na Pb -	130149
1000146	- Al3 F12 Na Rb2 -	130149
1000147	- Al3 F12 K2 Na -	130149
1000149	- Al Ca F6 Na -	182183
1000150	- Ba2 F8 Zr -	182183
1000151	- Ba2 F8 Zr -	182183
1000152	- Ba2 F8 Zr -	182183
1000153	- Ba2 F8 Zr -	182183
1000154	- F8 Pb2 Zr -	182183
1000157	- Cr F6 Mn Na -	130149
1000158	- Cr F5 Mn -	130149
1000159	- Cr F5 Mn -	130149
1000160	- Cr F5 Mn -	130149
1000161	- Cr F5 Rb2 -	130149
1000162	- F3 Fe K0.6 -	188477
1000164	- Al1.5 Cs F6 Na0.5 -	176435
1000165	- Al1.5 Cs F6 Li0.5 -	176435
1000166	- Al F4 K -	130149
1000167	- F6 Li2 Ti -	130149
1000168	- Ba2 F10 Ni3 -	130149
1000175	- Al F4 Rb -	200141
1000176	- F12 Li3 Na3 Sc2 -	130149
1000177	- F12 In2 Li3 Na3 -	130149
1000178	- F6 Fe2 Li -	130149
1000179	- F3 Fe Na0.11 -	176435
1000184	- F6 Fe Li Mn -	130149
1000185	- F6 Fe Li Mn -	130149
1000186	- F6 Fe Li Mn -	130149
1000198	- Al F4 Tl -	130149
1000201	- Ba2 Co F9 Fe -	130149
1000204	- Ba Cr2 F9 Na -	130149
1000205	- Ba F9 Fe2 Na -	130149
1000207	- Al F4 K -	130149
1000208	- Al F4 K -	130149
1000209	- F12 Li3 Na3 Ti2 -	130149
1000210	- F12 Li3 Na3 V2 -	130149
1000211	- Cr2 F12 Li3 Na3 -	130149
1000212	- F12 Fe2 Li3 Na3 -	130149
1000213	- Co2 F12 Li3 Na3 -	130149
1000214	- Ba6 Cu11 F34 -	130149
1000215	- Ba Cu F7 Fe -	130149
1000216	- Ba Cu F7 Fe -	130149
1000217	- Ba6 F26 Zn7 -	130149
1000219	- Ba F9 Fe2 Na -	130149
1000220	- Ba7 Cu F34 Fe6 -	130149
1000221	- Al F4 Tl -	130149
1000222	- Al F4 Tl -	130149
1000226	- Ba6 F26 Zn7 -	130149
1000228	- F3 Fe -	176729
1000232	- Cu3 F7 Na -	130149
1000236	- Al2 Ca3 F14 Na2 -	130149
1000237	- Cr F7 Na2 Ni -	130149
1000238	- Al F3 -	130149
1000239	- F6 Fe2 Li -	130149
1000243	- F6 Fe Nb -	176729
1000244	- F6 Fe Nb -	176729
1000245	- F6 Fe Nb -	130149
1000246	- F6 Fe Nb -	130149
1000248	- Ba2 F18 Ni7 -	130149
1000249	- Ba2 F18 Ni7 -	130149
1000256	- F4 Li2 Ni -	176729
1000257	- F7 Fe Na2 Ni -	130149
1000258	- F7 Fe Na2 Ni -	130149
1000259	- F7 Fe Na2 Ni -	130149
1000260	- Co F4 Li -	130149
1000261	- Co F4 Li -	130149
1000269	- Ba Cr3 Cs F12 -	130149
1000272	- F4 Ga K -	130149
1000278	- Ba7 Cu F34 Fe6 -	130149
1000288	- Al Ba3 F9 -	130149
1000289	- Cr F8 Na Sr2 -	130149
1000295	- Cr F7 Mn Na2 -	130149
1000296	- F7 Ga Mn Na2 -	130149
1000297	- Ba Cu3 F12 Na4 -	130149
1000300	- Al Ca F5 -	200074
1000305	- Cr F6 Na Sr -	200144
1000306	- F6 Fe Na Sr -	200144
1000323	- Ba10 Cu12 F47 Fe -	130149
1000325	- F5 Fe K2 -	130149
1000326	- F12 In2 Li4 Zn -	130149
1000329	- Al Ba3 F9 -	130149
1000338	- Ba3 Cr4 F20 Na2 -	130149
1000340	- Cr5 F26 Na3 Sr4 -	130149
1000348	- Al F5 Mn -	130149
1000360	- F32 Fe7 Na7 Sr2 -	176729
1000363	- Al F5 Fe -	130149
1000365	- F7 Li3 Th -	176729
1000366	- F7 Li3 Th -	176729
1000367	- F7 Li3 Th -	176729
1000368	- F7 Li3 Th -	176729
1000370	- Cs3 F9 Ga2 -	130149
1000376	- F24 Fe3 Pb8 -	130149
1000398	- Al6 F34 Na2 Sr7 -	130149
1000400	- F34 Fe6 Na1.96 Sr6.04 Zn -	130149
1000403	- Ba2 Cu F12 V2 -	130149
1000407	- Al F4 Tl -	130149
1000408	- Al F4 Tl -	130149
1000409	- Al F4 Tl -	130149
1000410	- Al F4 Tl -	130149
1000411	- Ba2 Cu5 F14 -	200126
1000417	- Al Ca F6 Na -	130149
1000418	- Al7 Ca4 F33 Na4.032 -	130149
1000419	- Al Cd F6 Na -	130149
1000420	- Cr2 F5 -	130149
1000421	- Ba F4 Zn -	130149
1000422	- Ba F4 Zn -	130149
1000424	- F34 Fe7 Pb7 -	130149
1000425	- Cs F5 Pd2 -	130149
1000439	- F4 Fe Rb -	130149
1000453	- Al F4 Rb -	130149
1000454	- Al F4 Rb -	130149
1000455	- Al F4 Rb -	130149
1000456	- Al F4 Rb -	176729
1000457	- Al F4 Rb -	176729
1000461	- Cr5 Cs4 F18.24 -	130149
1000462	- Co Cr4 Cs4 F18.24 -	130149
1000467	- Al F3 -	176729
1000468	- F3 V -	176729
1000473	- Ba F8 Y2 -	130149
1000476	- F3 Fe -	176729
1000479	- Al F5 K2 -	130149
1000485	- Ba Cu F7 In -	176729
1000490	- Co Cs F4 -	130149
1000491	- Co Cs F4 -	130149
1000492	- Al3 Cs2 F12 Na -	176729
1000496	- Al F4 Rb -	130149
1000497	- Ba2 F18 Zn7 -	130149
1000498	- Ba F7 Fe Mn -	130149
1000499	- Co Cr F6 Rb -	176729
1001038	- F6 Na2 U -	130149
1001047	- F29 Na3 Th6 Zn -	130149
1001226	- F15 Fe Na Np3 -	130149
1001843	- F13 Na Np3 -	130149
1006039	- F4 K Mn -	174781
1008000	- F6 Mo -	130149
1008004	- F6 U -	130149
