file	formula	svnrevision
1001238	- N4 Si3 -	130149
1001239	- N4 Si3 -	130149
1001240	- N4 Si3 -	130149
1001241	- N4 Si3 -	130149
1001242	- N4 Si3 -	130149
1001243	- N4 Si3 -	130149
1001244	- N4 Si3 -	130149
1001245	- N4 Si3 -	130149
1001246	- N4 Si3 -	130149
1001247	- N4 Si3 -	130149
1001248	- N4 Si3 -	130149
1001249	- N4 Si3 -	130149
1004015	- La3 N6 Ta2 -	176729
1005001	- Ca N Ni -	130149
1005002	- Ca2 N2 Zn -	130149
1005005	- Li7 N4 Nb -	130149
1005006	- N5 Ta3 -	130149
1005011	- Li Mo N2 -	176729
1005013	- Ca3 N3 V -	130149
1005019	- N2 Sr2 Zn -	130149
1005020	- Ba2 N2 Zn -	130149
1005021	- Ba5 N6 Si2 -	130149
1005027	- Ge2 N2 Sr3 -	130149
1005028	- Ge N2 Sr2 -	130149
1005031	- Ba3 Ge2 N2 -	130149
1005032	- Ba3 Ga2 N4 -	130149
1005035	- Ba9 N12 Nb2 -	130149
1005038	- Cu N Sr -	130149
1005039	- Cu3 N5 Sr6 -	130149
1005040	- Ba2 Ga Ge N -	130149
1005041	- Ba2.35 Ge2 N2 Sr0.65 -	176435
1005042	- N5 Na Ta3 -	130149
1005045	- Ca3 Cr N3 -	130149
1005047	- Li0.66 Mn1.34 N -	176435
1005048	- Li0.86 Mn1.14 N -	176435
1005049	- Ca3 Ga2 N4 -	200131
1005050	- Ba Cu N -	130149
1005051	- Ba16 Cu13 N15 -	130149
1005052	- Ba Ca4 Cu2 N4 -	176729
1005057	- Ca3 N3 V -	130149
1005058	- Ce2 Mn N3 -	130149
1008015	- Mn2 N0.86 -	176435
1008016	- Cr0.9375 N V0.0625 -	176435
1008017	- Cr0.875 N V0.125 -	176435
1008303	- Mn2 N0.86 -	176435
1008529	- Fe17 N2.92 Pr2 -	176729
1008530	- Fe17 N2.92 Pr2 -	176729
1008531	- Fe17 N2.92 Pr2 -	176729
1008548	- Fe10.12 Mo1.88 N0.8 Y -	176435
1008549	- Fe10.12 Mo1.88 N0.8 Y -	176435
1008550	- Fe10.52 Mo1.48 N0.8 Nd -	176435
1008551	- Fe10.48 Mo1.52 N0.8 Nd -	176435
1008557	- Ce2 Fe17 N3 -	176729
1008558	- Ce2 Fe17 N3 -	176729
1008559	- Fe17 N3 Nd2 -	176729
1008560	- Fe17 N3 Nd2 -	176729
1008600	- Fe17 N2.964 Th2 -	176729
1008601	- Fe17 N2.964 Th2 -	176729
1008875	- Fe17 N2.6 Nd2 -	176729
1008956	- Cr N -	130149
1008957	- Cr0.5 N V0.5 -	176435
1008958	- Cr0.9375 N V0.0625 -	176435
1008959	- Cr0.9375 N V0.0625 -	176435
1009020	- Mn3 N0.2 Rh -	176435
1009021	- Mn3 N0.25 Pt -	176435
1009040	- Ir Mn3 N -	130149
1009044	- Mn3 N Ni -	130149
1009045	- Mn3 N Pd -	130149
1009046	- Mn3 N Pt -	130149
1009047	- Mn3 N0.25 Pt -	176435
1009048	- Mn3 N Rh -	130149
1009049	- Mn3 N0.2 Rh -	176435
1009050	- Mn3 N Sn -	130149
1009051	- Mn3 N Zn -	130149
1009056	- Mo N -	130149
1009074	- Ga Mn3 N -	130149
1010040	- N3 Rb -	130149
1010088	- N3 Na -	176729
1010089	- K N3 -	130149
1010167	- Cu3 N -	130149
1010168	- Ga N -	130149
1010169	- In N -	130149
1010308	- Ag N3 -	130149
1010330	- B N -	130149
1010331	- B N -	130149
1010391	- K N3 -	130149
1010392	- N3 Na -	176729
1010510	- N Nb2 -	174979
1010514	- Al N -	130149
1010602	- B N -	130149
1010974	- Cr N -	130149
1011099	- N Ti -	130149
1011100	- N0.88 Ti0.88 -	176435
1011101	- N Ti -	130149
1011102	- N Ti -	130149
1011216	- Fe2 N -	130149
1011217	- Fe3 N -	130149
1011316	- N Ti -	130149
1011317	- N Sc -	130149
1011318	- N V -	130149
1011319	- N Nb -	130149
1011361	- N Zr -	130149
1100029	- N Ti2 -	176729
1100030	- N Ti2 -	200073
1100031	- N Ti2 -	130149
1100032	- N1.29 Ti3 -	189445
1100034	- N Ti -	130149
1100037	- N0.9 Ti -	176435
1100041	- N0.61 Ti -	176435
1101041	- N Ti2 -	176729
1101043	- N Ti2 -	130149
1101045	- N Ti -	130149
1101046	- N0.9 Ti -	176435
1101047	- N2.333 Ti4 -	180595
1101081	- N Ti -	176435
2000944	- Li7 N4 Nb -	176435
2004796	- Ba3 Ga2 N4 -	200801
2006775	- Fe3 N W3 -	176432
2006835	- Eu2 N8 Si5 -	176759
2006836	- Eu N7 Si4 Yb -	176759
2012637	- Ba14 Cu2 In4 N7 -	176760
2012796	- B9 Mg N -	176760
2015590	- Ba2 N15 Rb -	176760
2016168	- B13 N2 -	176760
2016170	- B N -	176760
2016173	- B N -	176760
2100976	- B Mg3 N3 -	176435
2101328	- B17 Be N2 -	176435
2101587	- Cr N Nb -	176435
2102550	- N4 Si3 -	201912
2102551	- N4 Si3 -	201912
2200084	- Ca2 N -	176774
2204401	- Ba19 In9 N9 -	176774
2222174	- N9 Pr5 Si3 -	176432
4000325	- Ga0.98 Mn0.02 N -	178377
4000326	- Ga0.95 Mn0.05 N -	178377
4303939	- N Zr -	179077
4303942	- N Zr -	179077
4303945	- N Zr -	179077
5910079	- B N -	177123
5910214	- Ga Li3 N2 -	177123
5910218	- Al Li3 N2 -	177123
6000257	- Mo3 N Ni2 -	176292
