./1001238.cif : Si12 N16
./1001239.cif : Si12 N16
./1001240.cif : Si12 N16
./1001241.cif : Si12 N16
./1001242.cif : Si12 N16
./1001243.cif : Si12 N16
./1001244.cif : Si6 N8
./1001245.cif : Si6 N8
./1001246.cif : Si6 N8
./1001247.cif : Si6 N8
./1001248.cif : Si6 N8
./1001249.cif : Si6 N8
./1004015.cif : La6 Ta4 N12
./1005001.cif : Ca2 Ni2 N2
./1005002.cif : Ca4 Zn2 N4
./1005005.cif : Li56 Nb8 N32
./1005006.cif : Ta12 N20
./1005013.cif : Ca12 V4 N12
./1005019.cif : Sr4 Zn2 N4
./1005020.cif : Ba4 Zn2 N4
./1005021.cif : Ba20 Si8 N24
./1005027.cif : Sr6 Ge4 N4
./1005028.cif : Sr16 Ge8 N16
./1005031.cif : Ba6 Ge4 N4
./1005032.cif : Ba12 Ga8 N16
./1005035.cif : Ba18 Nb4 N24
./1005038.cif : Sr12 Cu12 N12
./1005039.cif : Sr12 Cu6 N10
./1005040.cif : Ba4 Ga2 Ge2 N2
./1005042.cif : Na4 Ta12 N20
./1005045.cif : Ca12 Cr4 N12
./1005050.cif : Ba12 Cu12 N12
./1005052.cif : Ba4 Ca16 Cu8 N16
./1005057.cif : Ca6 V2 N6
./1005058.cif : Ce4 Mn2 N6
./1008529.cif : Pr6 Fe51 N8.757
./1008530.cif : Pr6 Fe51 N8.757
./1008531.cif : Pr6 Fe51 N8.757
./1008557.cif : Ce6 Fe51 N9
./1008558.cif : Ce6 Fe51 N9
./1008559.cif : Nd6 Fe51 N9
./1008560.cif : Nd6 Fe51 N9
./1008600.cif : Th6 Fe51 N8.892
./1008601.cif : Th6 Fe51 N8.892
./1008956.cif : Cr4 N4
./1009040.cif : Mn3 Ir1 N1
./1009044.cif : Mn3 Ni1 N1
./1009045.cif : Mn3 Pd1 N1
./1009046.cif : Mn3 Pt1 N1
./1009048.cif : Mn3 Rh1 N1
./1009050.cif : Mn3 Sn1 N1
./1009051.cif : Mn3 Zn1 N1
./1009056.cif : Mo8 N8
./1009074.cif : Mn3 Ga1 N1
./1010040.cif : Rb1 N3
./1010088.cif : Na1 N3
./1010089.cif : K4 N12
./1010167.cif : Cu3 N1
./1010168.cif : Ga2 N2
./1010169.cif : In2 N2
./1010308.cif : Ag4 N12
./1010330.cif : B2 N2
./1010331.cif : B2 N2
./1010391.cif : K4 N12
./1010392.cif : Na1 N3
./1010514.cif : Al2 N2
./1010602.cif : B2 N2
./1010974.cif : Cr4 N4
./1011099.cif : Ti4 N4
./1011101.cif : Ti4 N4
./1011102.cif : Ti4 N4
./1011216.cif : Fe6 N3
./1011217.cif : Fe6 N2
./1011316.cif : Ti4 N4
./1011317.cif : Sc4 N4
./1011318.cif : V4 N4
./1011319.cif : Nb4 N4
./1011361.cif : Zr4 N4
./1100029.cif : Ti8 N4
./1100031.cif : Ti4 N2
./1100034.cif : Ti4 N4
./1100037.cif : Ti4 N3.6
./1101041.cif : Ti8 N4
./1101043.cif : Ti4 N2
./1101045.cif : Ti4 N4
./1101046.cif : Ti4 N3.6
./1101081.cif : Ti4 N4
./1509463.cif : Mn3 Ag1 N1
./1509634.cif : Ca12 Ag32 N2
./1509981.cif : Ca76 Ag32 N28
./1510065.cif : Ca8 Au4 N4
./1510068.cif : Ca3 Au1 N1
./1510242.cif : Sr8 Au4 N4
./1510243.cif : V3 Au1 N1
./1510704.cif : Ba12 B8 N16
./1510742.cif : La6 Ni4 B4 N5.82
./1510743.cif : La6 Ni4 B4 N6
./1510744.cif : La10 B4 N12
./1510926.cif : La6 B6 N12
./1510937.cif : Pr18 B18 N36
